# Quadro 7 (Parques Municipais existentes e propostos) — Anexo PDE Lei 16.050/2014. Fonte: _entrada/tdc/pde2013-subst2-quadro-7-parques-municipais-existentes-propostos.txt (extração pura via extrair_quadro7.py). Substrato da via de expansão 'parques' (Art. 126 IV).
codigo,situacao,categoria,proposto,revisar,local_bruto,endereco_bruto
PQ_CV-04,EM PLANEJAMENTO,URBANO,sim,,CASA VERDE / CACHOEIRINHA CASA VERDE CLUBE MATARAZZO,AV. ORDEM E PROGRESSO
PQ_CV-05,EM PLANEJAMENTO,URBANO,sim,,CASA VERDE / CACHOEIRINHA LIMÃO MATA DA RUA DOS RODRIGUES,R. DOS RODRIGUES
PQ_AD_01,EM PLANEJAMENTO,URBANO,sim,,CIDADE ADEMAR PEDREIRA ATERRO ITATINGA,R DOS DOURADOS
PQ_AD_02,EM PLANEJAMENTO,URBANO,sim,,CIDADE ADEMAR PEDREIRA JARDIM APURA,R SALVADOR DALI
PQ_AD_03,EM PLANEJAMENTO,LINEAR,sim,,CIDADE ADEMAR PEDREIRA MAR PAULISTA FASE 1,R. DO MAR PAULISTA
PQ_AD_04,EM PLANEJAMENTO,LINEAR,sim,,CIDADE ADEMAR PEDREIRA MAR PAULISTA FASE 2,R. DO MAR PAULISTA
PQ_AD_05,EXISTENTE,LINEAR,nao,,CIDADE ADEMAR PEDREIRA SETE CAMPOS,"ESTRADA DO ALVARENGA, AV. ALDA"
PQ_CT_01,EM PLANEJAMENTO,URBANO,sim,,CIDADE TIRADENTES CIDADE TIRADENTES APA DO IGUATEMI,ESTRADA IGUATEMI
PQ_CT_02,EXISTENTE,LINEAR,nao,,CIDADE TIRADENTES CIDADE TIRADENTES CONSCIENCIA NEGRA,R. JOSÉ FRANCISCO BRANDÃO 330
PQ_CT_03,EXISTENTE,URBANO,nao,,CIDADE TIRADENTES CIDADE TIRADENTES DA CIENCIA,AV. DOS TÊXTEIS
PQ_CT_04,EM IMPLANTAÇÃO,LINEAR,sim,,CIDADE TIRADENTES CIDADE TIRADENTES LINEAR NASCENTES DO ARICANDUVA,ESTRADA IGUATEMI 5 CIDADE
PQ_CT_05,EM IMPLANTAÇÃO,URBANO,sim,,CIDADE TIRADENTES TIRADENTES MATA SETE CRUZES,R. NAYLOR DE OLIVEIRA
PQ_CT_06,EXISTENTE,URBANO,nao,,CIDADE TIRADENTES CIDADE TIRADENTES VILA DO RODEIO,R.CACHOEIRA MORENA
PQ_EM_01,EXISTENTE,URBANO,nao,,ERMELINO MATARAZZO ERMELINO MATARAZZO (DOM PAULO EVARISTO ARNS),AV. ABEL TAVARES
PQ_EM_02,EXISTENTE,LINEAR,nao,,ERMELINO MATARAZZO ERMELINO MATARAZZO ERMELINO MATARAZZO LINEAR MONGAGUA,R. FRANCISCO MENEGOLO
PQ_EM_03,EM PLANEJAMENTO,LINEAR,sim,,ERMELINO MATARAZZO PONTE RASA PONTE RASA,R MARIA DAS DORES ABRANCHES
PQ_FO_01,EM IMPLANTAÇÃO,URBANO,sim,,FREGUESIA/BRASILANDIA BRASILANDIA BRASILANDIA,AV. DEP. CANTIDIO SAMPAIO
