origem,sq_ou_setor_quadra_lote_bruto,lote_bruto,endereco,distrito,n_processo,nome_bem
TOMBADO_CADASTRO,015//,,R DOUTOR PHIDIAS DE BARROS MONTEIRO,PINHEIROS,"6025.2022/0002288-3; 6025.2022/0002292-1;
6025.2022/0002647-1; 6025.2021/0027156-3 e 6025.2023/0000155-1",VILA CERQUEIRA CÉSAR / MANCHAS URBANAS DE CASARIO / MANCHA PASCOAL DEL GAIZO (D)
TOMBADO_CADASTRO,015//,,R PASCOAL DEL GAIZO,PINHEIROS,"6025.2022/0002288-3; 6025.2022/0002292-1;
6025.2022/0002647-1; 6025.2021/0027156-3 e 6025.2023/0000155-1",VILA CERQUEIRA CÉSAR / MANCHAS URBANAS DE CASARIO / MANCHA PASCOAL DEL GAIZO (D)
TOMBADO_CADASTRO,026/015/,,TV MARIA PARENTE MIGLIARI,BELÉM,6025.2019/0007640-6,"CONJUNTOS RESIDENCIAIS MOOCA / VILA MARIA PARENTE MIGLIARI
"
TOMBADO_CADASTRO,087//,,"AV DAS NAÇÕES UNIDAS, S/N C/ AV PADRE JOSÉ MARIA, S/N",SANTO AMARO,2009-0.064.434-2 e 2017-0.144.142-6,ESTAÇÃO FERROVIÁRIA SANTO AMARO / EDIFICAÇÕES MODERNAS INDICADAS COMO ZEPEC
TOMBADO_CADASTRO,005//,,,SÉ,2000-0.218.872-0 e 2007-0.209.235-1,PRAÇA JOÃO MENDES
TOMBADO_CADASTRO,013//,,R CRISTIANO VIANA C/ R CARDEAL ARCOVERDE,JARDIM PAULISTA,6025.2023/0000155-1 e 6025.2023/0036403-4,"VILA CERQUEIRA CÉSAR / MANCHAS URBANAS HETEROGÊNEAS / MANCHA ESCADARIA CRISTIANO VIANA (K) / ESCADARIA À RUA CRISTIANO VIANA (""ESCADÃO DA MARIELLE"")"
TOMBADO_CADASTRO,209//,,"R STEFANO MAUSER, 661",PIRITUBA,2016-0.143.878-4,CAPELA DE SANTA CRUZ DE PIRITUBA
TOMBADO_CADASTRO,301/074/,,"R MAJOR SYLVIO DE MAGALHÃES PADILHA, S/N",VILA ANDRADE,1990-0.003.695-0,CHÁCARA TANGARÁ - GLEBA C - PARQUE BURLE MARX
TOMBADO_CADASTRO,301/074/,,"R MAJOR SYLVIO DE MAGALHÃES PADILHA, S/N",VILA ANDRADE,1990-0.003.695-0,CHÁCARA TANGARÁ - GLEBA C - PARQUE BURLE MARX
TOMBADO_CADASTRO,301/072/,,"R MAJOR SYLVIO DE MAGALHÃES PADILHA, S/N",VILA ANDRADE,1990-0.003.695-0,CHÁCARA TANGARÁ - GLEBA A
TOMBADO_CADASTRO,301/073/,,"R MAJOR SYLVIO DE MAGALHÃES PADILHA, S/N",VILA ANDRADE,1990-0.003.695-0,CHÁCARA TANGARÁ - GLEBAS B
