
,,,,
,,,,,,"SMPR - Secretaria Municipal das Prefeituras Regionais
SMUL - Secretaria Municipal de Urbanismo e Licenciamento
SLE - Sistema de Licenciamento Eletrônico",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Página:1 / 1,,,
,,,,,,,,Relatório de processos aprovados,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,

,,,,Período de consulta: de,,,,,,45292,,até,,,45657,,- Data de emissão:,,,,45673,

Unidade,Administração regional,,Alvará,,,,Processo,,,,,,,Descrição,,,,,Data autuação,,,SQL_Incra,,,,Categoria de uso,Zona de uso atual,,Zona de uso anterior,Bairro,Área da construção (m²),Proprietário,Área do terreno (m²),Endereço,Aprovação,Dirigente técnico,Responsável pela empresa,Autor do projeto,Responsável pela empresa,"(B)locos / 
SMUL/CONTRU         ,VILA MARIANA                  ,,2024.03.635-00,,,,6059-2020-0.004.854-0,,,,,,,RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE ACESSIBILIDADE,,,,,04/09/2020,,,042.104.0007-6,,,,NR2.07, ZEU,,ZONA DE CENTRALIDADE POLAR - B.,VILA CLEMENTINO,,VALERIA LISBOA DE CARVALHO,,R   TENENTE GOMES RIBEIRO 00208 ,02/07/2024,RUBENS HENRIQUE MADUREIRA SOUZA,,REINALDO MALULI,,,,
SMUL/CONTRU/DACESS  ,PENHA                         ,,2024.03.773-00,,,,0000-2014-0.341.125-1,,,,,,,CERTIFICADO DE ACESSIBILIDADE,,,,,04/12/2014,,,061.056.0256-1,,,,NR2.11, ZEUP,,ZONA DE CENTRALIDADE POLAR - B.,PENHA,,CINEMATOGRAFICA PASSOS LTDA,,R   DOUTOR JOAO RIBEIRO 00304 ,10/07/2024,ROBSON GONZALES DA SILVA,,ROBSON GONZALES DA SILVA,,,,
SMUL/CONTRU/DACESS  ,SE                            ,,2024.03.843-00,,,,0000-2016-0.271.018-6,,,,,,,CERTIFICADO DE ACESSIBILIDADE,,,,,08/12/2016,,,005.071.0484-6,,,,NR2.05, ZC,,ZONA DE CENTRALIDADE POLAR - B.,LIBERDADE,,PREVENT LABOR ATENDIMENTO CLINICO E HOSPITALAR,,R   MITUTO MIZUMOTO 00596 ,12/07/2024,ROGERIO CORDEIRO DOS SANTOS,,,,,,
SMUL/CONTRU/DINS    ,BUTANTA                       ,,2024.03.688-00,,,,0000-2019-0.013.666-6,,,,,,,CERTIFICADO DE ESTANQUEIDADE,,,,,21/02/2019,,,123.237.0155-9,,,,NR2, ZEUP,,ZONA MISTA DE ALTA DENSIDADE - B.,V. SONIA,,BG SUL PETROLEO LTDA,,AV  PROF FRANCISCO MORATO 05051 ,04/07/2024,HORST REINHOLD JAHNKE,,,,,,
SMUL/CONTRU/DINS    ,IPIRANGA                      ,,2024.03.855-00,,,,0000-2019-0.000.641-0,,,,,,,CERTIFICADO DE ESTANQUEIDADE,,,,,07/01/2019,,,049.126.0044-1,,,,NR2, ZC,,ZONA MISTA DE MEDIA DENSIDADE.,VL BANDEIRANTES,,AUTO POSTO ALAMEDA SACOMA LTDA,,VIA ANCHIETA 02013 ,12/07/2024,,,,,,,
SMUL/CONTRU/DINS    ,PINHEIROS                     ,,2019.03.302-01,,,,6068-2024-0.004.004-9,,,,,,,REVALIDACAO DE AUTO DE LICENCA DE FUNCIONAMENTO,,,,,16/04/2024,,,299.028.0518-1,,,,NR3-01,,,Z9-022.,VILA OLIMPIA,,EDIFICIO INTERNATIONAL PLAZA,,AV  PRES JUSCELINO KUBITSCHEK 1309 ,31/07/2024,CLAUDIO NEVES BORGES FORTES,,,,,,
SMUL/CONTRU/DINS    ,PINHEIROS                     ,,2024.04.215-00,,,,0000-2019-0.022.131-0,,,,,,,CERTIFICADO DE ESTANQUEIDADE,,,,,28/03/2019,,,015.093.0003-1,,,,NR2.04, ZM,,Z8-CR3 LIND. Z2.,PINHEIROS,,CENTRO EMPRESARIAL SERVICOS AUTOMOTIVOS LTDA,,AV  BRIGADEIRO FARIA LIMA 01448 R. TAVARES CABRA,30/07/2024,LUANA ROMANI TEIXEIRA,,,,,,
SMUL/CONTRU/DINS    ,SANTO AMARO                   ,,2017.20.167-01,,,,6068-2024-0.005.956-4,,,,,,,REVALIDACAO DE AUTO DE LICENCA DE FUNCIONAMENTO,,,,,06/06/2024,,,085.664.0025-9,,,,NR3-01, ZM,,ZONA NAO DEFINIDA.,R OLAV R CAMPOS 105,,CONDOMINIO EZ TOWERS (SUBCONDOMINIO TORRE B),,AV  DOUTOR CHUCRI ZAIDAN 99999 ,31/07/2024,ADRIANA SEMENICHIN BURLE,,,,,,
SMUL/CONTRU/DINS    ,SANTO AMARO                   ,,2018.06.647-01,,,,6068-2024-0.005.955-6,,,,,,,REVALIDACAO DE AUTO DE LICENCA DE FUNCIONAMENTO,,,,,06/06/2024,,,085.664.0025-9,,,,NR3-01, ZM,,ZONA MISTA DE BAIXA DENSIDADE.,R OLAV R CAMPOS 105,,CONDOMINIO EZ TOWERS (SUBCONDOMINIO TORRE A),,AV  DOUTOR CHUCRI ZAIDAN 99999 ,31/07/2024,ADRIANA SEMENICHIN BURLE,,,,,,
SMUL/CONTRU/DINS    ,SANTO AMARO                   ,,2024.03.854-00,,,,0000-2020-0.010.767-9,,,,,,,CERTIFICADO DE ESTANQUEIDADE,,,,,24/09/2020,,,089.442.0010-6,,,,NR2, ZC,,ZONA MISTA DE BAIXA DENSIDADE.,CAMPO BELO,,GDO PARTICIPAÇÕES S.A,,AV  PEDRO BUENO 01582 ,12/07/2024,,,,,,,
SMUL/CONTRU/DLR     ,ARICANDUVA/ FORMOSA/ CARRAO     ,,2024.03.829-00,,,,6068-2024-0.006.303-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,14/06/2024,,,055.207.0058-3,,,,NR2.11, ZEUP,,Z2.,VL FORMOSA,,ESPAÇO ANALIA FRANCO DE EVENTOS EIRELI,,AV  DOUTOR EDUARDO COTCHING 647 ,11/07/2024,MICHEL RACHID MALUF JUNIOR,,,,,,
SMUL/CONTRU/DLR     ,ARICANDUVA/ FORMOSA/ CARRAO     ,,2024.03.834-00,,,,6068-2024-0.004.064-2,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,17/04/2024,,,055.041.0049-6,,,,NR2-08, ZEUP,,Z3-122.,VILA CARRAO,,MITRA ARQUIDIOCESANA DE SAO PAULO,,R   ENGENHEIRO PEGADO 000374 ,11/07/2024,SERGIO RAMALHO; NELSON REPLE NETO,,,,,,
SMUL/CONTRU/DLR     ,ARICANDUVA/ FORMOSA/ CARRAO     ,,2024.04.144-00,,,,6068-2024-0.001.638-5,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,15/02/2024,,,056.233.0097-9,,,,NR2.15, ZC,,ZONA MISTA DE ALTA DENSIDADE - A.,VILA SANTO ESTEVAO,,CONGREGACAO CRISTA NO BRASIL,,R   SAO GIL 00102 ,26/07/2024,JOSE ALVES FERREIRA JUNIOR; ZELIA ALVES PINTO SAID; ELIFELETE FERREIRA DA SILVA,,,,,,
SMUL/CONTRU/DLR     ,ARICANDUVA/ FORMOSA/ CARRAO     ,,2024.04.145-00,,,,6068-2021-0.008.963-8,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,15/09/2021,,,303.053.0054-4,,,,NR2-08, ZM,,ZONA MISTA DE ALTA DENSIDADE - A.,JD IARA,,CONGREGACAO CRISTA NO BRASIL,,AV  ANTONIO MANOGRASSO 00107 115,26/07/2024,ARMANDO FRANCISCO FERRO JUNIOR; ELIEZER ALEXANDRE DOMINGUES,,,,,,
SMUL/CONTRU/DLR     ,BUTANTA                       ,,2024.04.192-00,,,,6068-2024-0.006.912-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,28/06/2024,,,101.635.0063-1,,,,NR2.11, ZEU,,ZONA MISTA DE MEDIA DENSIDADE., / BUTANTA,,SL SERVIÇOS E ORGANIZAÇÃO DE EVENTOS LTDA,,AV  DEP    JACOB SALVADOR ZVEIBIL 0 SHOP. BUTANTA-ESTAC.,29/07/2024,LUIZ CARLOS MARCATO,,LUIZ CARLOS MARCATO,,,,
SMUL/CONTRU/DLR     ,CAMPO LIMPO                   ,,2024.03.942-00,,,,6068-2024-0.005.525-9,,,,,,,ALVARA DE AUTORIZACAO,,,,,23/05/2024,,,170.201.0155-1,,,,NR2.11, ZC,,ZONA DE CENTRALIDADE POLAR - A.,VILA ANDRADE,,CARNIVORIA SOROCABA LTDA,,AV  GIOVANNI GRONCHI 05819 SHOPP. JARDIM SUL / ,17/07/2024,RAFAELA CAMARGO LIRA,,,,,,
SMUL/CONTRU/DLR     ,CAMPO LIMPO                   ,,2024.04.195-00,,,,6068-2024-0.007.422-9,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,11/07/2024,,,166.004.0415-8,,,,NR2.10, ZM-2/001,,ZONA MISTA DE MEDIA DENSIDADE.,JD. SAO LUIS,,ASSOCIACAO ATLETICA BANCODO BRASIL,,ES  DE ITAPECERICA 1935 ,29/07/2024,,,,,,,
SMUL/CONTRU/DLR     ,CAPELA DO SOCORRO             ,,2024.04.110-00,,,,6068-2024-0.005.320-5,,,,,,,ALVARA DE AUTORIZACAO,,,,,20/05/2024,,,162.051.0161-1,,,,NR3.04, ZOE,,ZONA DE OCUPACAO ESPECIAL.,/ INTERLAGOS,,MUNICIPIO DE SAO PAULO - SECRETARIA DO GOVERNO MUNICIPAL,,AV  INTERLAGOS 6295 AUTODROMO INTERLAGOS,25/07/2024,SAMIR ABOU MOURAD; JOSE EDUARDO DO NASCIMENTO; LUIZ FILLIPE MARIN OLIVEIRA; GADIEL SANTOS SANTIAGO,,,,,,
SMUL/CONTRU/DLR     ,CASA VERDE/ CACHOEIRINHA       ,,2024.03.653-00,,,,6068-2024-0.002.929-0,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE FUNCIONAMENTO DE LOCAL DE REUNIAO,,,,,19/03/2024,,,075.236.0061-1,,,,NR2.11, ZC,,Z2.,IMIRIM,,ESPACO DE EVENTOS ENGENHEIRO CAETANO EIRELI,,AV  ENGENHEIRO CAETANO ALVARES 03748 ,02/07/2024,CRISTIANE VILELLA CASTRO DE OLIVEIRA; LUIZ CARLOS DE OLIVEIRA,,,,,,
SMUL/CONTRU/DLR     ,FREGUESIA/ BRASILANDIA         ,,2024.03.654-00,,,,6068-2024-0.002.257-1,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,01/03/2024,,,076.384.0038-0,,,,NR2.15, ZM,,ZONA MISTA DE MEDIA DENSIDADE.,ITABERABA,,CONGREGACAO CRISTA NO BRASIL,,R   CONCEICAO DO JACUIPE 74 E  78  /  ,02/07/2024,DAVI DE ABREU; JOAO LAERCIO RODRIGUES DOS SANTOS,,,,,,
SMUL/CONTRU/DLR     ,FREGUESIA/ BRASILANDIA         ,,2024.03.835-00,,,,6068-2024-0.001.242-8,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,05/02/2024,,,107.221.0006-9,,,,NR2.15, ZC,,ZONA MISTA DE ALTA DENSIDADE - B.,VL.BRASILÂNDIA,,CONGREGACAO CRISTA NO BRASIL,,R   PARAPUA 1487 ,11/07/2024,DAVI DE ABREU,,,,,,
SMUL/CONTRU/DLR     ,IPIRANGA                      ,,2024.03.965-00,,,,6068-2024-0.001.130-8,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,01/02/2024,,,040.199.0216-1,,,,NR3.04, ZC,,ZONA MISTA DE MEDIA DENSIDADE.,IPIRANGA,,EXPOAQUA-EXPOSICAO DE AQUARIO DE SAO PAULO LTDA,,R   HUET BACELAR 00643 ,17/07/2024,WANDA MARIA DE LOURDES E SILVA; JESSICA ZANELLATO,,,,,,
SMUL/CONTRU/DLR     ,IPIRANGA                      ,,2024.04.244-00,,,,6068-2024-0.007.299-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,05/07/2024,,,048.433.0001-2,,,,NR2.11, ZC,,ZONA MISTA DE MEDIA DENSIDADE.,JARDIM DA SAUDE,,CARNIVORIA SOROCABA LTDA,,AV  PROF   ABRAAO DE MORAIS 100 SHOPP. PLAZA SUL/,31/07/2024,RAFAELA CAMARGO LIRA,,,,,,
SMUL/CONTRU/DLR     ,ITAQUERA                      ,,2024.03.943-00,,,,6068-2024-0.004.946-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,09/05/2024,,,143.083.0007-9,,,,NR3-04, ZEU,,ZONA NAO DEFINIDA.,ITAQUERA,,ASSOCIAÇÃO MANAKA CULTURAL,,AV  JOSE PINHEIRO BORGES 99999 ESTAC. SHOPPING,17/07/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,ITAQUERA                      ,,2024.03.984-00,,,,6068-2024-0.005.959-9,,,,,,,ALVARA DE AUTORIZACAO,,,,,06/06/2024,,,143.083.0007-9,,,,NR2.10, ZEU,,ZONA NAO DEFINIDA.,ITAQUERA,,MORENO'S PARK LDTA-ME,,AV  JOSE PINHEIRO BORGES 99999 ESTAC. SHOPPING,18/07/2024,MARCIO PEREIRA RIBEIRO; SARA SOUSA GUERRA; ELY GOMES DOS SANTOS,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.03.651-00,,,,6068-2024-0.004.443-5,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,25/04/2024,,,021.064.0001-2,,,,NR3-04, ZEU,,Z2.,PERDIZES,,FUNDACAO SAO PAULO,,R   MONTE ALEGRE 000948 ,02/07/2024,OSVALDO FELIPE NUNES ROCHA; MARCIO BRESSAN; ALUIZIO DA SILVA ALVES,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.03.667-00,,,,6068-2024-0.006.020-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,07/06/2024,,,099.017.0002-7,,,,NR2.11, ZM,,ZONA MISTA DE ALTA DENSIDADE - A.,AGUA BRANCA,,ASSOCIAÇÃO CULTURAL CICCILLO MATARAZZO - ACCIM,,R   CENNO SBRIGHI 378 MIS EXPERIENCE /,03/07/2024,SANDRA CARDOSO DA SILVA BISPO; MESAQUE MOTA BISPO,,MESAQUE MOTA BISPO,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.03.678-00,,,,6068-2024-0.000.485-9,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,16/01/2024,,,022.095.0035-4,,,,NR3-04, ZM,,ZONA MISTA DE ALTA DENSIDADE - A.,LAPA,,CINEMARK BRASIL S/A,,AV  ANTARTICA 408 LJ 2201,03/07/2024,LUIZ LEME DOS SANTOS; ARLINDO WU HON,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.03.837-00,,,,6068-2024-0.005.567-4,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,24/05/2024,,,020.053.0001-2,,,,NR3.07, ZM,,Z3-236.,PERDIZES,,MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA SAO GERALDO,,LG  PADRE PERICLES 000000 ,11/07/2024,SERGIO RAMALHO; NELSON REPLE NETO,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.03.926-00,,,,6068-2024-0.004.496-6,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,26/04/2024,,,023.049.0007-0,,,,NR2.15,,,Z3-076.,LAPA,,MITRA ARQUIDIOCESANA DE SAO PAULO,,PC  CORNELIA 0 DEP. N101,16/07/2024,WEDER BERTI; ISRAEL AVRUM MORDKO KLEIMBERG,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.04.113-00,,,,6068-2024-0.006.255-7,,,,,,,ALVARA DE AUTORIZACAO,,,,,13/06/2024,,,022.086.0269-2,,,,NR3-04, ZOE,,ZONA MISTA DE ALTA DENSIDADE - A.,AGUA BRANCA,,"CWE PUBLICIDADE, PROMOCOES, PRODUCOES ARTISTICAS E PARTICIPA",,AV  FRANCISCO MATARAZZO 1705 ALLIANZ PARQUE /,25/07/2024,VICENZO ZARATIN,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.04.168-00,,,,6068-2024-0.003.747-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,10/04/2024,,,021.115.0001-1,,,,NR3.04, ZM,,ZONA MISTA DE ALTA DENSIDADE - B.,/ BARRA FUNDA,,ART SHINE PROMOÇOES E EVENTOS,,AV    MARIO DE  ANDRADE 664 MEM. AMERICA LATINA,29/07/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.02.210-01,,,,6068-2024-0.005.171-7,,,,,,,APOSTILAMENTO DE ALVARA DE FUNCIONAMENTO DE LOCAL DE REUNIAO,,,,,15/05/2024,,,003.019.0209-7,,,,NR3.07,,,ZONA ESPECIAL DE INTERESSE SOCIAL - 3.,BRAS,,IGREJA MUNDIAL DO PODER DE DEUS,,R   CARNEIRO LEAO 00439 ,01/07/2024,,,,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.03.649-00,,,,6068-2024-0.006.145-3,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,11/06/2024,,,053.014.0058-4,,,,NR2.15, ZM,,Z2.,AGUA RASA,,IGREJA DA PAZ NA CIDADE DE SAO PAULO,,R   PROFESSOR GIULIANI 262 A,02/07/2024,,,,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.03.710-00,,,,6068-2024-0.005.914-9,,,,,,,ALVARA DE AUTORIZACAO,,,,,05/06/2024,,,017.103.0046-9,,,,NR3.04, ZOE,,ZONA MISTA DE ALTA DENSIDADE - A.,GRUTA / CANINDE,,M7 GESTÃO E ENTRETENIMENTO LTDA,,R   PASCOAL RANIERI 33 ASSOC.PORT.DESPORT.,05/07/2024,ANDRE EIRA IAGUE; LUIZ CARLOS MARCATO,,LUIZ CARLOS MARCATO,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.03.784-00,,,,6068-2024-0.005.997-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,07/06/2024,,,030.166.0003-1,,,,NR3.04, ZEU,,ZONA DE CENTRALIDADE POLAR - A.,TATUAPE,,SHOPPING METRO TATUAPE,,R   DOMINGOS AGOSTIM 000091 ANCORA 1,10/07/2024,NAIARA ROBERTA ROSIN SIMOES COELHO,,,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.03.836-00,,,,6068-2024-0.001.813-2,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,20/02/2024,,,052.034.0073-3,,,,NR2-08, ZM,,ZONA MISTA DE ALTA DENSIDADE - B.,MOOCA,,IGREJA EVANGELICA BATISTA EBENEZER DE SAO PAULO,,R   AVAI 358 ,11/07/2024,ISMAEL DE CARVALHO; WANDA MARIA DE LOURDES E SILVA,,,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.04.091-00,,,,6068-2024-0.005.937-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,06/06/2024,,,017.103.0046-9,,,,NR3-04, ZOE,,ZONA MISTA DE ALTA DENSIDADE - A.,GRUTA / CANINDE,,B 2 F MARKETING E EVENTOS LTDA,,R   PASCOAL RANIERI 33 ASSOC.PORT.DESPORT.,25/07/2024,FAUSTO ARANTES RECHE,,,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.04.091-01,,,,6068-2024-0.005.937-8,,,,,,,APOSTILAMENTO DE ALVARA DE AUTORIZACAO,,,,,06/06/2024,,,017.103.0046-9,,,,NR3-04, ZOE,,ZONA MISTA DE ALTA DENSIDADE - A.,GRUTA / CANINDE,,B 2 F MARKETING E EVENTOS LTDA,,R   PASCOAL RANIERI 33 ASSOC.PORT.DESPORT.,31/07/2024,,,,,,,
SMUL/CONTRU/DLR     ,PENHA                         ,,2024.04.138-00,,,,6068-2024-0.006.153-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,11/06/2024,,,062.244.0013-1,,,,NR3.04, ZC,,ZONA DE CENTRALIDADE POLAR - A.,PENHA DE FRANCA,,CLUBE ESPORTIVO DA PENHA,,R   CAPITAO JOAO CESARIO 354 GINASIO POLIESPOT./,26/07/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.03.650-00,,,,6068-2024-0.000.808-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,23/01/2024,,,085.651.0079-0,,,,NR3-04, ZC,,Z6-037.,ROQUE PETRONI JR.14,,TELEFONICA BRASIL S.A.,,AV  DOUTOR CHUCRI ZAIDAN 02460 ESQUINA C/A AV.,02/07/2024,MARCIO ALVAREZ MATEOS; BRUNO OLIVEIRA DE MELLO,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.03.821-00,,,,6068-2024-0.006.651-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,24/06/2024,,,299.082.0006-0,,,,NR2-01, ZM,,Z3-234.,ITAIM BIBI,,ESPAÇO TH ENTRETENIMENTO EIRELI,,R   GOMES DE CARVALHO 00830 ,11/07/2024,,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.03.826-00,,,,6068-2024-0.002.443-4,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,06/03/2024,,,299.050.1025-2,,,,NR3-04, ZM,,Z4-052.,VILA OLIMPIA,,BRAINSTORMING SOLUÇOES CULTURAIS LTDA,,R   OLIMPIADAS 360 LUC 120,11/07/2024,EDUARDO MIACHON DE OLIVEIRA,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.03.831-00,,,,6068-2024-0.006.648-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,24/06/2024,,,299.082.0005-2,,,,NR3-04, ZM,,ZONA MISTA DE ALTA DENSIDADE - B.,VILA OLIMPIA,,ESPAÇO TH ENTRETENIMENTO EIRELI,,R   GOMES DE CARVALHO 00820 ,11/07/2024,MARIA LUIZA SERRA CASTILHO; CAIO AUGUSTO SERRA CASTILHO,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.03.975-00,,,,6068-2024-0.005.680-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,28/05/2024,,,096.128.0003-0,,,,NR3-04,,,ZONA NAO DEFINIDA.,/ ALTO DE PINHEIROS,,IMM ESPORTE E ENTRETENIMENTO LTDA,,AV  PROF FONSECA RODRIGUES 1655 2001-PQ VILLA LOBOS,18/07/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.03.976-00,,,,6068-2024-0.005.855-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,04/06/2024,,,014.023.0001-8,,,,NR2.10, AC-1,,ZONA DE CENTRALIDADE LINEAR 2 EM ZER.,JD AMERICA,,CLUBE ATLETICO PAULISTANO,,R   HONDURAS 1300 1400,18/07/2024,LICIA MAHTUK FREITAS,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.04.002-00,,,,6068-2024-0.000.116-7,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,05/01/2024,,,011.076.0029-4,,,,NR3.04, ZEU,,ZONA MISTA DE MEDIA DENSIDADE.,PINHEIROS,,CASA DE CULTURA DE ISRAEL,,R   OSCAR FREIRE 02500 ,19/07/2024,ELIANE CAMPOS LEITE,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.04.131-00,,,,6068-2024-0.005.844-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,04/06/2024,,,299.050.1025-2,,,,NR2.10, ZM,,ZONA MISTA DE ALTA DENSIDADE - B.,VILA OLIMPIA,,MULTIVERSO EXPERIENCE SERVICO DE PROJECOES MAPEADAS LTDA,,R   OLIMPIADAS 360 LUC 120,26/07/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.04.143-00,,,,6068-2024-0.005.674-3,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,28/05/2024,,,080.151.0232-4,,,,NR2-08, ZC,,ZONA MISTA DE MEDIA DENSIDADE.,ALTO DE PINHEIROS,,INSPETORIA SALESIANA DE SAO PAULO,,R   CERRO CORA 02101 ,26/07/2024,CARLOS ALBERTO ALMEIDA; CASSIO ROBERTO VALERIO DOS SANTOS,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.04.178-00,,,,6068-2024-0.006.541-6,,,,,,,ALVARA DE AUTORIZACAO,,,,,20/06/2024,,,299.014.0178-8,,,,NR2-08, ZM,,ZONA MISTA DE MEDIA DENSIDADE.,ITAIM BIBI,,FARO EVENTOS LTDA,,AV  BRIGADEIRO FARIA LIMA 03477 PATIOVICTORMALZONI/,29/07/2024,JOSE EDUARDO DO NASCIMENTO,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.04.185-00,,,,6068-2024-0.005.359-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,21/05/2024,,,096.128.0003-0,,,,NR4.06,,,ZONA NAO DEFINIDA.,/ ALTO DE PINHEIROS,,DC SET SHOWS E ENTRETENIMENTO LTDA,,AV  PROF FONSECA RODRIGUES 1655 2001-PQ VILLA LOBOS,29/07/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,PIRITUBA                      ,,2024.04.134-00,,,,6068-2024-0.006.360-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,17/06/2024,,,214.016.0001-6,,,,NR2.11, ZMIS,,ZONA PREDOMINANTEMENTE INDUSTRIAL.,PIRITUBA,,ROBATTINI ARTES LTDA,,AV  RAIMUNDO P.DE MAGALHAES 11001 ESTAC. SHOPPING/,26/07/2024,ELY GOMES DOS SANTOS,,,,,,
SMUL/CONTRU/DLR     ,SANTANA/ TUCURUVI              ,,2024.01.113-02,,,,6068-2023-0.011.432-6,,,,,,,APOSTILAMENTO DE ALVARA DE FUNCIONAMENTO DE LOCAL DE REUNIAO,,,,,07/12/2023,,,073.161.0039-7,,,,NR3.04,,,Z2.,SANTANA,,ASSOCIACAO PAULISTA DE CIRURGIOES DENTISTAS,,R   VOLUNTARIOS DA PATRIA 547 ,01/07/2024,,,,,,,
SMUL/CONTRU/DLR     ,SANTANA/ TUCURUVI              ,,2024.03.786-00,,,,6068-2024-0.005.726-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,29/05/2024,,,304.009.0002-2,,,,NR4.06, ZEPAM,,ZONA DE OCUPACAO ESPECIAL.,SANTANA,,ASSOCIACAO PAULISTA DOS AMIGOS DA ARTE-APAA,,AV  GENERAL ATALIBA LEONEL 00656 PARQUE DA JUVENTUDE/,10/07/2024,FLAVIO AMERICO CURTO JACOME DA PAZ,,,,,,
