ID                                   ** (proposta/lei/ano emissão alvará aprovação) **,PROPOSTA,PROCESSO Nº,PROCESSO MODIFICATIVO,COORDENADA E,COORDENADA N,SETOR,QUADRA,LOTE (CADASTRADO NO ALVARÁ DE APROVAÇÃO),LOTE ATUALIZADO / CONDOMÍNIO,COD LOG,"ENDEREÇO - TIPO (RUA, AVENIDA, ESTRADA, etc)","ENDEREÇO - TÍTULO (DR, DEPUTADO, CORONEL, etc)",ENDEREÇO - NOME,ENDEREÇO - NÚMERO,"ENDEREÇO 2- TIPO (RUA, AVENIDA, ESTRADA, etc)","ENDEREÇO 2 - TÍTULO (DR, DEPUTADO, CORONEL, etc)",ENDEREÇO - NOME,ENDEREÇO - NÚMERO,PROPRIETÁRIO OU INTERESSADO,DISTRITO,SUBPREFEITURA,MACROZONA,MACROÁREA,SUBSETOR,ZONA DE USO 1 - 18.081/24,ZONA DE USO 2 - 17.975/23,ZONA DE USO 3 - 16.402/16,ZONA DE USO 4 - 16.050/14,ZONA DE USO 5 - 13.885/04,Tipologia de Uso Incidente de OODC,R,,,nR,,,,,Fp - USO R,Fp - USO nR,Fs - USO R,Fs - USO nR,USO R - ÁREA OBJETO DE OUTORGA (m²),USO NR - ÁREA OBJETO DE OUTORGA (m²),ÁREA TOTAL OBJETO DE OUTORGA (m²),ÁREA CONSTRUÍDA NÃO COMPUTÁVEL (m²),ÁREA CONSTRUÍDA NÃO COMPUTÁVEL - INCENTIVO nR  (m²),ÁREA CONSTRUÍDA NÃO COMPUTÁVEL - FACHADA ATIVA (m²),% FACHADA ATIVA EM RELAÇÃO ÁREA NÃO COMPUTÁVEL,ÁREA COMPUTÁVEL TOTAL (m²),ÁREA CONSTRUÍDA TOTAL (m²),USO R - VALOR DA CONTRAPARTIDA (R$),USO nR - VALOR DA CONTRAPARTIDA (R$),VALOR TOTAL DA CONTRAPARTIDA (R$),REAPROVEITAMENTO DE OODC,C. A.       BÁSICO,C. A. UTILIZADO,ÁREA TERRENO (menor área),VALOR M² (Q 14),ÁREA AVERBADA PARA FRUIÇÃO PÚBLICA (m²),ÁREA DE DOAÇÃO PARA MELHORAMENTO PÚBLICO (m²),ÁREA DE DOAÇÃO DE CALÇADA (m²),"COTA PARTE MÁXIMA DE TERRENO POR UNIDADE
Art. 79 §§ 9º 10º (m²)",ÁREA DE TRANSFERÊNCIA (m²),ÁREA À DESTINAR PARA HABITAÇÃO SOCIAL (m²),INCIDÊNCIA DE COTA DE SOLIDARIEDADE,COTA DE SOLIDARIEDADE OPCIONAL OU OBRIGATÓRIA,SITUAÇÃO DO PGTO OODC,ORIGEM,N° ALVARÁ,TIPO DE ALVARÁ,DATA DE EXPEDIÇÃO DO ALVARÁ,N° ALVARÁ,TIPO DE ALVARÁ,DATA DE EXPEDIÇÃO DO ALVARÁ,N° ALVARÁ,TIPO DE ALVARÁ,DATA DE EXPEDIÇÃO DO ALVARÁ,DATA INFORMAÇÃO DMUS,DATA
,,,,Coordenada plana x ,Coordenada plana y,,,,,,ENDEREÇO 1,,,,ENDEREÇO 2,,,,,,,,,,,,,,,,SUBCATEGORIA DE USO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALVARÁ DE APROVAÇÃO / APROVAÇÃO E EXECUÇÃO                                                         (APOSTILAMENTOS E/OU MODIFICATIVOS),,,ALVARÁ DE EXECUÇÃO                                                                                                     (APOSTILAMENTOS E/OU MODIFICATIVOS),,,CERTIFICADO DE CONCLUSÃO,,,,
2284/16050/2024,2284,1020.2023/0026863-8,,328607.88006274,7395660.4350184,012,106,0708-5,-,694894,RUA,-,SEBASTIÃO CORTES,99999,-,-,-,-,SEBASTIÃO CORTES INCORPORADORA SPE LTDA,PERDIZES,LAPA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZM,ZM,-,R,R2v-2,-,-,-,-,-,-,-,"0,7",-,"0,8/1,0",-,-,-,2280.88,6558.83,-,-,-%,4561.76,11120.59,-,-,2733827.39,NÃO,1,2,2280.88,3454.61,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,35593-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45428,,,,,,,45712,2025
2285/17975/2024,2285,1020.2023/0003310-0,,327474.9169,7386132.06585,085,587,0072-9,-,181196,RUA,-,ANDREA PAULINETTI,S/N,-,-,-,-,LAVVI NORUEGA EMPREENDIMENTOS IMOBILI[ARIOS LTDA,SANTO AMARO,SANTO AMARO,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-4,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"0,8/1,4",-,-,-,18210.88,27250.74,4756.83,798.14,2.9288745920294273E-2,25421.64,52672.38,-,-,9534922.7300000004,NÃO,1,"4,7828",5315.27,2873.22,-,-,631.83000000000004,23.99,-,-,SIM,OBRIGATÓRIO,ARRECADADO AD,APROVA DIGITAL,25641-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45503,48062-24-SP-ALV,EXECUÇÃO DE EDIFICAÇÃO NOVA,45674,,,,45712,2025
2286/17975/2024,2286,1020.2023/0014803-9,,337458.70012993,7393033.7330793,032,040,0001-1/0002-8/0062-1/0063-1/0064-8/0130-1,-,124877,RUA,-,TAMARATACA,"S/N,256,258,266",RUA,-,MADRE DE DEUS,"1143,1159",CBR MAGIK LZ 21 EMPREENDIMENTOS IMOBILIÁRIOS LTDA,MOOCA,MOOCA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-3,-,-,-,-,-,-,-,"0,6",-,"0,8/1,0",-,-,-,10313.83,10321.67,-,-,-%,13725.93,24047.599999999999,-,-,2555126.34,NÃO,1,"4,7988",2860.31,2265.96,-,-,183.93,-,-,-,SIM,OBRIGATÓRIO,ARRECADADO AD,APROVA DIGITAL,30878-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45489,48261-24-SP-ALV,EXECUÇÃO DE EDIFICAÇÃO NOVA,45737,,,,45712,2025
2287/17975/2024,2287,1020.2023/0010664-6,,332955.98603906,332955.98603906,037,063,0006-0/0007-9/0008-7/0009-5/0010-9/0011-7/0012-5/0013-3/0014-1/0015-1/0024-9/0025-7/0026-5,-,044245,RUA,-,SUD MENNUCCI,"117,119,127,133,145,149,159,165,179,183",RUA,-,CARLOS VITOR COCOZZA,"112,124,130",TRISUL MAMONA EMPREENDIMENTOS IMOBILIÁRIOS LTDA,VILA MARIANA,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-3,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"0,8/1,0",-,-,-,10548.87,11856.45,3005.95,181.17,1.5280290474804852E-2,15064.72,26921.17,-,-,5903189.1799999997,NÃO,1,"4,7965",3140.8,3995.52,-,-,458.35,-,-,-,SIM,OBRIGATÓRIO,ARRECADADO AD,APROVA DIGITAL,29022-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45519,,,,,,,45712,2025
2288/17975/2024,2288,1020.2023/0019817-6,,342509.612,7395504.3869,056,194,0006-9/0030-1/0031-1/0034-4/0039-5/0076-1/0077-8/0078-6,-,100455,RUA,-,JERICINÓ,"02,04,14,16,18",-,-,-,-,PROJETO IMOBILIÁRIO DI 1 LTDA,CARRÃO,ARICANDUVA/FORMOSA/CARRÃO,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,ZEU,ZEU,-,-,R,R2v-4,HMP,HIS - 2,-,-,-,-,-,"0,6",-,"0,0/0,4/0,8",-,-,-,22697.09,15007.31,-,-,-%,27192.52,42199.83,-,-,1889662.04,NÃO,1,"6,5802",4132.49,1418.05,-,-,120.98,-,-,2291.48,SIM,OBRIGATÓRIO,ARRECADADO AD,APROVA DIGITAL,33289-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45547,,,,,,,45712,2025
2289/17975/2024,2289,1020.2023/0024659-6,,331998.69325,7391919.0709,036,027,0012-7/0013-5/0014-3/0015-1/0016-1/0017-8/0018-6/0019-4/0044-5,-,000574,RUA,CORONEL,OSCAR PORTO,"597,609,617,619,629",RUA,-,ABILIO SOARES,"452,464,472,474",SANTORINI EMPREENDIMENTOS IMOBILI[ARIOS SPE S.A.,VILA MARIANA,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"1,0/1,425",-,-,-,5159.28,9373.9500000000007,1321.44,93.46,9.9701833271993116E-3,7114.41,16488.36,-,-,10778346.109999999,NÃO,1,"4,7960",1483.41,10372.84,-,-,157.24,24.06,-,-,SIM,OPCIONAL,ARRECADADO AD,APROVA DIGITAL,35115-23-SP-ALV,APOSTILAMENTO DE  ALV. DE APROVAÇÃO DE EDIFICAÇÃO NOVA,45519,48333-24-SP-ALV,EXECUÇÃO DE EDIFICAÇÃO NOVA,45713,,,,45712,2025
2290/17975/2024,2290,1020.2023/0021356-6,,330904.15099918,7392797.2349915,009,083,0035-2/0036-0/0037-9,-,096423,ALAMEDA,-,ITU,"225,235,251",-,-,-,-,ONE DI 56 EMPREENDIMENTO IMOBILIARIO SPE LTDA,JARDIM PAULISTA,PINHEIROS,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-2,HMP,-,nR1-2,nR1-12,-,-,-,"0,7",-,"0,4/1,0",-,-,-,3715.99,3029.83,514.16999999999996,222.43,7.341335982546876E-2,4490.99,7520.82,-,-,4744661.49,NÃO,1,"5,7948",775,11784.15,-,-,-,-,-,-,SIM,OPCIONAL,ARRECADADO AD,APROVA DIGITAL,33442-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45485,46142-24-SP-ALV,EXECUÇÃO DE EDIFICAÇÃO NOVA,45699,,,,45712,2025
2291/18081/2024,2291,1020.2024/0006545-3,,341047.98384072,7388832.5500123,051,170,0018-8/0019-6,-,038318,RUA,VISCONDE,DE CAETÉ,"511,515,523",-,-,-,-,CALIFORNIA EMPREENDIMENTOS IMOBILIÁRIOS SPE LTDA,VILA PRUDENTE,VILA PRUDENTE,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,ZM,ZM,-,-,-,R,R2v-1,HMP,-,-,-,-,-,-,"0,6",-,"0,4/0,8",-,-,-,1206.5899999999999,2598.27,-,-,-%,2206.59,4804.8599999999997,-,-,307990.59999999998,NÃO,1,"2,2065",1000,1233.6300000000001,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,39142-24-SP-ALV,APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45642,,,,,,,45712,2025
2292/17975/2025,2292,1020.2023/0028521-4,,330174.58758576,7388094.1514197,041,208,0032-6/0037-7/0158-6,-,114260,ALAMEDA,-,DOS JURUPIS,"S/N,1246,1270",-,-,-,-,CNP16 EMPREENDIMENTO IMBILIÁRIO LTDA,MOEMA,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"1,0",-,-,-,3904.13,4391.55,989.23,81.84,1.8635789186050484E-2,5424.39,9815.94,-,-,4041448.24,NÃO,1,"3,999",1356.13,5915.13,-,-,54.71,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,35995-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45674,,,,,,,45712,2025
2293/17975/2025,2293,1020.2024/0008255-2,,342777.44224701,7398232.8114198,060,149,0033-0/0034-9,-,158704,RUA,-,PEDRO ALEGRETTI,"390,402",-,-,-,-,PORTO DE MOS CONSTRUÇÕES SPE LTDA,PENHA,PENHA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,ESTRUTURAÇÃO METROPOLITANA,ARCO LESTE,-,ZM,ZM,-,-,R,R2v-1,E-HMP,-,-,-,-,-,-,"0,3",-,"0,4/0,8",-,-,-,1181.68,1783.26,-,-,-%,1981.68,3764.94,-,-,79674.95,NÃO,1,"2,4771",800,1162.78,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,40179-24-SP-ALV,APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45679,,,,,,,45712,2025
2294/17975/2025,2294,1020.2024/0000255-9,,325205.30865045,7401104.270112,077,436,0053-1,-,133841,RUA,PADRE,MARIANO RONCHI,1061,-,-,-,-,GCT INCORPORAÇÕES E EMPREENDIMENTOS LTDA,PIRITUBA,PIRITUBA/JARAGUÁ,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,ESTRUTURAÇÃO METROPOLITANA,NOROESTE,-,ZM,ZM,-,-,R,-,E-HMP,-,-,-,-,-,-,"0,3",-,"0,4",-,-,-,2365.59,4138.84,-,-,-%,3990.59,8129.43,-,-,122451.52,NÃO,1,"2,4557",1625,1059.32,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,36772-23-SP-ALV,APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45678,,,,,,,45712,2025
2295/17975/2024,2295,1010.2023/0009238-1,,332776.0854852,7388830.2533856,042,148,0015-1/0016-8/0017-6/0019-2/0066-4/0074-5/0075-3/0076-1/0087-7/0562-3/0687-5,-,008338,AVENIDA,DOUTOR,ALTINO ARANTES,218,-,-,-,-,TARJAB ALTINO ARANTES EMPREENDIMENTO IMOBILIÁRIO SPE LTDA,SAÚDE,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-3,-,-,-,-,-,-,-,"0,7",-,"0,8/1,0",-,-,-,9270.4,11056.4,-,-,-%,12802.32,23585.4,-,-,7399020.9500000002,NÃO,1,4,3202.32,3202.32,-,-,-,-,-,-,NÃO,-,QUITADO,SEI,2024/04867-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45525,,,,,,,45707,2025
2296/16050/2024,2296,1010.2023/0005998-8,,342534.16670618,7396294.9699151,056,003,0007-7/0033-6,-,185434,RUA,DOUTOR,SUZANO BRANDÃO ,520,-,-,-,-,SPE EMPREENDIMENTOS IMOBILIÁRIOS SUZANO BRANDÃO LTDA,VILA MATILDE,PENHA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,"0,6",-,"0,9/1,0",-,-,-,3852.02,7390.49,1450.93,118.18,1.5990820635708863E-2,5575.53,12966.02,-,-,636568.63,NÃO,1,"3,9999",1393.93,1149.29,-,-,109.86,-,-,-,NÃO,-,QUITADO,SEI,2024/01252-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45351,,,,,,,45705,2025
2297/17975/2023,2297,1010.2023/0011239-0,,338571.00260036,7390703.4290748,044,064,0010-9/0010-9/0012-5/0013-3/0018-4/0019-2/0020-6/0021-4/0022-2/0029-1/0030-3/0031-1/0032-1/0033-8/0034-6/0038-9/0039-7,-,163805,RUA,-,PIRES PIMENTEL ,330,-,-,-,-,MITRE JOSE DOS REIS EMPREENDIMENTOS LTDA,VILA PRUDENTE,VILA PRUDENTE,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,ZEU,ZEU,-,-,R,R2v-4,-,-,-,-,-,-,-,"0,6",-,"0,8/1,625",-,-,-,17138.86,17092.05,-,-,-%,23790.11,40882.160000000003,-,-,4141389.83,NÃO,1,"4,7964",4960,1268.49,-,-,563.75,26.25,-,-,SIM,OBRIGATÓRIO,QUITADO,SEI,2024/04664-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45520,50426-25-SP-ALV,EXECUÇÃO DE EDIFICAÇÃO NOVA,45761,,,,45705,2025
2298/17975/2024,2298,1010.2022/0010841-3,,331633.13948852,7391803.5452582,036,042,0001-6/0002-4/0003-2/0004-0/0005-9/0019-9/0020-2/0021-0/0022-9/0023-7/0024-5/0025-3/0026-1,-,177091,RUA,-,SAMPAIO VIANA,"663,671,685,687,695",RUA,-,ALCINO BRAGA l PROFESSOR ALEXANDRE ALBUQUERQUE,"178,180,194 l 36,48,52,60,68",SEI SAMPAIO VIANA EMPREENDIMENTO IMOBILIÁRIO LTDA,VILA MARIANA,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZM,ZM,-,-,R,R2v-2,-,-,-,-,-,-,-,"0,7",-,"1,0",-,-,-,3658.8,9025.5499999999993,-,-,-%,6272.78,15298.33,-,-,0,NÃO,1,"2,3997",2613.98,10269.39,-,-,-,-,3659.57,627.27,SIM,OBRIGATÓRIO,QUITADO,SEI,2024/03685-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45470,,,,,,,45727,2025
2299/17975/2027,2299,1010.2022/0008755-6,,327053.87931335,7384822.6178299,088,044,0007-2/0008-0/0012-9/0013-7/0014-5/0015-3/0016-1/0025-0/0026-9/0027-7/0099-4/0100-1,-,002224,RUA,-,ADOLFO PINHEIRO,1880,-,-,-,-,DIALOGO ENGENHARIA E CONTRUÇÃO LTDA,SANTO AMARO,SANTO AMARO,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,ZEU,ZEU,-,-,R,R2v-4,HMP,HIS - 2,nR1-3,nR2-1,-,-,-,"0,6",-,"0,4/0,8/1,0/1,075",-,-,-,24174.53,26921.53,-,-,-%,30842.63,57764.65,-,-,9512656.2699999996,NÃO,1,"5,6502",5458.65,3896.56,-,-,-,20.75,-,3084.26,SIM,OBRIGATÓRIO,QUITADO,SEI,2024/04358-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45510,,,,,,,45730,2025
2300/17975/2024,2300,1020.2023/0021857-6,,329834.35812509,7395996.116177,011,026,0035-0/0036-9/0037-7/0038-5/0039-3/0041-5/0042-3/0043-1/0044-1/0046-6,-,042480,RUA,-,BOCAINA,"46,54,60,72,82",RUA,-,CARDOSO DE ALMEIDA l DOUTOR HOMEM DE MELO,"683,695,713,715 l 274",CBR 160 EMPREENDIMENTOS IMOBILIÁRIOS LTDA,PERDIZES,LAPA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-3,HMP,-,nR1-12,-,-,-,-,"0,7",-,"0,4/1,0/1,5",-,-,-,15068.87,19304.97,3654.18,576.99,2.9888158334356384E-2,18956.77,38261.74,-,-,17919464.82,NÃO,1,"5,7920",3272.93,7684.05,-,-,204.99,25,-,327.3,SIM,OBRIGATÓRIO,ARRECADADO AD,APROVA DIGITAL,34096-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45526,50101-25-SP-ALV,EXECUÇÃO DE EDIFICAÇÃO NOVA,45755,,,,45730,2025
2301/17975/2024,2301,1020.2023/0021847-9,,326049.50182666,7391936.2776186,084,266,0052-2,-,045454,RUA,PROFESSOR,MORATO,S/N,-,-,-,-,GARDENA PARTICIPAÇÕES SOCIEDADE UNIPESSOAL LIMITADA,MORUMBI,BUTANTÂ,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-4,-,-,-,-,-,-,-,"0,7",-,"3,0",-,-,-,26781.57,40668.050000000003,-,-,-%,33829.49,74497.429999999993,-,-,47909067.460000001,NÃO,1,"4,8000",7047.81,4088.86,-,-,-,89.97,-,-,SIM,OBRIGATÓRIO,ARRECADADO AD,APROVA DIGITAL,33930-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45558,56494-25-SP-APO,APOSTILAMENTO DE  ALV. DE EXECUÇÃO DE EDIFICAÇÃO NOVA,45854,,,,45979,2025
2302/16050/2024,2302,1020.2023/0011025-2,,336508.9582,7402297.75625,068,371,0021-1/0022-1/0023-8/0024-6/0025-4/0026-2/0027-0/0028-9/0029-7/0030-1/0031-9/0032-7/0033-5/0034-3/0035-1/0036-1/0037-8/0038-6/0039-4/0040-8/0041-6/0042-4/0043-2/0074-2,-,055581,AVENIDA,-,GUAPIRA,"146,154,158,160",-,-,-,-,JOCA ADMINISTRAÇÃO E PARTICIPAÇÃO LTDA,TUCURUVI,SANTANA/TUCURUVI,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZEU,ZEU,-,R,R2v-1,HMP,-,nR1-1,-,-,-,-,"0,6",-,"0,4",-,-,-,3555.41,2569.66,-,-,-%,6408.6,8978.26,-,-,270207.89,NÃO,1,"4,7700",1343.46,1539.5,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,29669-23-SP-REF,APROVAÇÃO DE REFORMA,45386,,,,,,,45740,2025
2303/17975/2024,2303,1020.2023/0025417-3,,336133.27104367,7400980.078202,068,008,0143-7/0144-5/0145-3/0146-1/0147-1,-,157104,RUA,-,PAULO DE AVELAR,594,-,-,-,-,SMILE VIEW EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,VILA GUILHERME,VILA MARIA/VILA GUILHERME,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,ZEU,ZEU,-,-,R,R2v-1,HMP,-,nR1-3,nR1-12,-,-,-,"0,6",-,"0,4/0,8",-,-,-,1535.6,3493.53,491.73,22.56,6.4576517161724668E-3,2459.19,5952.72,-,-,396274.92,NÃO,1,"2,8266",870,1666.58,-,-,53.59,-,-,-,SIM,OPCIONAL,ARRECADADO AD,APROVA DIGITAL,34482-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45642,,,,,,,45740,2025
2304/16050/2024,2304,2019-0.039.843-1,,342463.1298,7390516.71715,118,396,0011-9,-,074420,AVENIDA,,VILA EMA,3680,-,-,-,-,GOLAND VILA EMPREENDIMENTOS IMOBILIÁRIOS LTDA,SÃO LUCAS,VILA PRUDENTE,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZEU,ZEU,-,nR,-,-,-,nR1-3,nR2-7,-,-,-,-,"0,5",-,"1,0",-,-,357.87,814.94,-,-,#VALUE!,1441.61,2256.5500000000002,-,-,194690,NÃO,1,"1,3302",1083.74,1447.29,-,-,-,-,-,-,NÃO,-,QUITADO,SISACOE,2024/03340-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45461,,,,,,,45749,2025
2305/17975/2024,2305,1020.2023/0020971-2,,330595.85902651,7388381.4636332,041,190,0009-5,-,128473,AVENIDA,-,JAMARIS ,330,-,-,-,-,ONE DI 43 EMPREENDIMENTO IMOBILIÁRIO SPE LTDA,MOEMA,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-2,HMP,-,nR1-6,nR1-12,-,-,-,"0,7",-,"0,4/1,0",-,-,-,3701.5,2675.06,868.34,399.79,0.14945085343880138,4501.5,7176.56,-,-,2983603.94,NÃO,1,"5,6269",800,7106.03,-,-,-,-,-,-,SIM,OPCIONAL,ARRECADADO AD,APROVA DIGITAL,33647-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45551,47722-24-SP-ALV,EXECUÇÃO DE EDIFICAÇÃO NOVA,45758,,,,45758,2025
2306/17975/2024,2306,1010.2023/0007041-8,,325554.47025091,7391964.154053,082,415,0010-6/0011-4/0012-2/0014-9/0018-1/0019-1/0020-3/0021-1/0022-1/0023-8/0032-7/0033-5,-,178225,RUA,-,SAPATUBA ,290,-,-,-,-,SAPETUBA DIÁLOGO EMPREENDIMENTOS IMOBILIÁRIOS SPE LTDA,BUTANTÃ,BUTANTÂ,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-4,HMP,HIS - 2,nR1-3,nR1-12,-,-,-,"0,7",-,"0,4/0,8/1,0",-,-,-,26368.63,29251.96,2601.5100000000002,516.62,1.7661038781674802E-2,33098.639999999999,62350.6,-,-,4737875.04,NÃO,1,"5,8066",5700.14,1837.51,-,-,343.29,-,-,3309.86,SIM,OBRIGATÓRIO,QUITADO,SEI,2024/06501-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45588,50706-25-SP-ALV,EXECUÇÃO DE EDIFICAÇÃO NOVA,45708,,,,45748,2025
2307/17975/2024,2307,1021.2023/0024670-7,,335772.02619156,7402459.1734522,069,003,0009-1/0021-9/0022-7/0023-5/0024-3/0062-6,-,192015,AVENIDA,-,TUCURUVI,"360-364 E 368,370-380,382,386",RUA,-,TOME DE LARA,"145,147,149,153,155,161,163,171",CYMA 11 EMPREENDIMENTOS IMOBILIÁRIOS LTDA,TUCURUVI,SANTANA/TUCURUVI,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZEU,EETU,-,R,R2v-3,HMP,-,nR1-3,-,-,-,-,"0,6",-,"0,4/0,8",-,10564.2,-,10564.2,9622.67,-,790.66,8.2166384174039014E-2,14173.86,23796.53,-,-,2565649.46,NÃO,1,"5,4394",2605.77,2936.2,-,-,334.63,-,-,1417.38,SIM,OBRIGATÓRIO,ARRECADADO AD,APROVA DIGITAL,35164-23-SP-ALV,APOSTILAMENTO DE  ALV. DE APROVAÇÃO DE EDIFICAÇÃO NOVA,45580,,,,,,,45754,2025
2308/16050/2024,2308,2024/02496-00,,329428.39903632,7387602.9134548,086,065,0029-1,-,328049,RUA,DOUTOR,EURICO RANGEL ,40,-,-,-,-,CEIRY XI EMPREENDIMENTOS IMOBILIÁRIOS LTDA,CAMPO BELO,SANTO AMARO,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-1,E-HMP,-,nR1-3,nR1-12,nR1-15,-,-,"0,7",-,"0,4/0,8",-,-,-,3962.17,2441.54,778,231.97,9.5009706988212358E-2,4977.71,7419.25,-,-,819472.52,NÃO,1,"4,9015",1015.54,3035.16,-,-,-,-,-,-,NÃO,-,QUITADO,SEI,2024/02496-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45418,,,,,,,45751,2025
