drive_id,titulo,destino,destino_folderId
1eQSukZchES9PzOG7nmQVjc3-fJoMlUJQ,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CAEHIS Nº 3 DE 7 DE OUTUBRO DE 2021 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1VgnEQYGGE38WrfFD8RugGFtiAq1c6Z4q,RESOLUÇÃO SECRETARIA MUNICIPAL DE LICENCIAMENTO - SEL_CEUSO Nº 139 DE 27 DE ABRIL DE 2020 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1iLgAyoAkqz27OpBoS_WeWNOd3IHP0Izt,RESOLUÇÃO SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO - SMDU_CTLU Nº 12 DE 17 DE DEZEMBRO DE 2020 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1BSCKQCp-VQGvn9Po5i49aSoxsXnwIpsU,PORTARIA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 172 DE 10 DE DEZEMBRO DE 2024 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1KJ1Atleeb7VsooECZbbB-tkERscukH0B,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 141 DE 8 DE FEVEREIRO DE 2021 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1Mr4uuuaWz7gzGxux5zSFJ7TZDQzx_h3w,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 146 DE 27 DE JANEIRO DE 2022 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1LBUlijnE3pW3hD40nC1mv-PEI-W8eT0o,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 1 DE 27 DE FEVEREIRO DE 2023 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1lxvi9Ss2vVfat1UJ6qn4ZBduVq5Nz76O,Projeto de Intervenção Urbana apresentado por particular - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1IG6c6A7J6-IHTlMi9cyw1odTQiW5-EmL,PRONUNCIAMENTO SMUL.ATECC.CTLU_001_2024 - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1enQFVq5s1gCITh6_M-ETF_ZCtdpA4C1l,INSTRUÇÃO NORMATIVA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 1 DE 16 DE OUTUBRO DE 2024 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
