sql_mestre,x,y,epsg,status
0010830007,333241.51663333335,7394898.028183334,31983,ok
0010830011,333226.8356625,7394889.232812501,31983,ok
0010830016,333225.0337416667,7394942.798916667,31983,ok
0010830018,333229.61765862064,7394972.675948275,31983,ok
0010830020,333210.09402500006,7395001.642437501,31983,ok
0010830021,333205.81585,7395019.88373,31983,ok
0010830031,333238.7541941176,7395014.088670589,31983,ok
0010840000,333021.01012727275,7394875.786918181,31983,ok
0010840003,333054.03557142854,7394877.639685714,31983,ok
0010840006,333081.5526583334,7394868.803800001,31983,ok
0010840008,333104.11387999996,7394867.22481,31983,ok
0010840016,333138.6516947369,7394825.303300001,31983,ok
0010840021,333107.00183333334,7394840.950316668,31983,ok
0010840022,333093.3242125,7394848.058824999,31983,ok
0010840023,333078.50195,7394850.8796,31983,ok
0010850001,333173.6095571429,7394888.134214285,31983,ok
0010850003,333181.3147,7394857.906635715,31983,ok
0010853786,,,31983,sem_lote
0010860003,333190.4688166667,7394834.603299999,31983,ok
0010860004,333201.331475,7394833.739675,31983,ok
0010860009,333214.3913777778,7394800.849844445,31983,ok
0010860015,333179.5984785714,7394817.543707143,31983,ok
0010870000,,,31983,sem_lote
0010870001,333210.1744538461,7396350.300661539,31983,ok
0010870002,333243.7239099999,7396540.4818,31983,ok
0010870003,333214.5019714287,7396587.751914285,31983,ok
0020000000,,,31983,sem_lote
0020110015,333886.86862857145,7396237.204585714,31983,ok
0020110016,333894.24381,7396234.794819999,31983,ok
0020110017,333899.88756666664,7396234.869824999,31983,ok
0020110018,333905.6241545454,7396236.783436364,31983,ok
0020110019,333911.4486545455,7396236.509372727,31983,ok
0020110020,333916.15939999995,7396239.147475,31983,ok
0020110021,333924.95460000006,7396239.709733333,31983,ok
0020110022,333902.8772777778,7396226.627161111,31983,ok
0020110023,333917.1275571429,7396227.136299999,31983,ok
0020110024,333904.27376999997,7396219.6177900005,31983,ok
0020110025,333902.45921000006,7396215.492539999,31983,ok
0020110026,333902.42670999997,7396208.983,31983,ok
0020110027,333899.2746777778,7396204.798999999,31983,ok
0020110028,333900.3177,7396199.323299999,31983,ok
0020110029,333899.01881428575,7396191.1955,31983,ok
0020110030,333896.18331249995,7396188.515587499,31983,ok
0020110031,333892.49832222215,7396182.794911112,31983,ok
0020110032,333889.9274545455,7396178.1318727285,31983,ok
0020110033,333887.50267500005,7396173.999550001,31983,ok
0020110034,333888.316125,7396168.2125875,31983,ok
0020110035,333887.1014428571,7396160.721714286,31983,ok
0020110036,333882.8242,7396157.04771,31983,ok
0020110037,333878.69311428576,7396153.1525714295,31983,ok
0020110038,333876.67381428566,7396148.057821429,31983,ok
0020110039,333875.5404916667,7396142.999875001,31983,ok
0020110040,333874.20328,7396136.9233099995,31983,ok
0020110041,333870.38886,7396131.877229999,31983,ok
0020110042,333869.8146,7396128.197799999,31983,ok
0020110043,333866.4588857143,7396123.798471428,31983,ok
0020110044,333861.62920909096,7396131.418772727,31983,ok
0020110045,333856.65264,7396134.434899999,31983,ok
0020110046,333849.83530000004,7396133.6075,31983,ok
0020110047,333845.35666,7396135.375820001,31983,ok
0020110048,333840.86,7396137.151300001,31983,ok
0020110049,333836.43978333334,7396138.079933333,31983,ok
0020120001,333986.05741666665,7396196.111400001,31983,ok
0020120002,333988.3997333333,7396202.480822222,31983,ok
0020120003,333982.7387,7396210.396327273,31983,ok
0020120004,333984.8438307692,7396216.026415384,31983,ok
0020120005,334003.49152000004,7396225.26352,31983,ok
0020120006,333997.6502833333,7396222.659466666,31983,ok
0020120007,333991.58714285714,7396223.921314285,31983,ok
0020120008,333988.3388555555,7396225.793533334,31983,ok
0020120009,333982.696325,7396227.8805875,31983,ok
0020120010,333978.82934444444,7396227.330277778,31983,ok
0020120011,333971.894325,7396221.574708334,31983,ok
0020120012,333967.83538999996,7396227.478580001,31983,ok
0020120013,333962.4522,7396229.1152099995,31983,ok
0020120014,333956.54815,7396229.750290001,31983,ok
0020120015,333952.90346666664,7396234.6149,31983,ok
0020120016,333948.23741999996,7396237.52314,31983,ok
0020120017,333940.89715000003,7396236.732183333,31983,ok
0020120018,333942.13815,7396221.38416,31983,ok
0020120019,333938.3574285714,7396215.728499999,31983,ok
0020120020,333949.9568333333,7396215.077566667,31983,ok
0020120021,333955.9236833334,7396214.171833333,31983,ok
0020120022,333961.51915,7396211.997012501,31983,ok
0020120023,333963.71846249996,7396209.163275001,31983,ok
0020120024,333969.75341666664,7396208.87395,31983,ok
0020120025,333973.59035,7396204.733233334,31983,ok
0020120026,333978.8239625,7396203.239587499,31983,ok
0020130001,333972.5995833333,7396167.07915,31983,ok
0020130002,333973.9047,7396172.1816,31983,ok
0020130003,333975.4510571429,7396176.158357143,31983,ok
0020130004,333978.86653999996,7396180.552819999,31983,ok
0020130005,333971.30773,7396178.9027200015,31983,ok
0020130006,333965.02976666664,7396180.536033333,31983,ok
0020130007,333961.4929,7396185.873360001,31983,ok
0020130008,333954.37472857145,7396185.2334571425,31983,ok
0020130009,333952.37168571434,7396188.1344428575,31983,ok
0020130010,333944.91657142853,7396189.0091571435,31983,ok
0020130011,333942.44267499994,7396192.1931875,31983,ok
0020130012,333934.3908714286,7396197.914928571,31983,ok
0020130013,333930.8056142857,7396195.149457143,31983,ok
0020130014,333927.51203750004,7396185.820024999,31983,ok
0020130015,333927.779475,7396180.869875001,31983,ok
0020130016,333938.0015,7396180.6215625005,31983,ok
0020130017,333940.56431428576,7396177.670385714,31983,ok
0020130018,333948.056,7396176.889228572,31983,ok
0020130019,333950.02558571426,7396173.903914286,31983,ok
0020130020,333957.2423428571,7396173.249857143,31983,ok
0020130021,333959.7559625,7396171.015699999,31983,ok
0020130022,333967.2208125,7396168.9852875015,31983,ok
0020130023,333974.1146,7396161.2939,31983,ok
0020140005,333956.47508,7396148.080600001,31983,ok
0020140006,333951.92708,7396147.002680001,31983,ok
0020140007,333948.26952,7396151.34298,31983,ok
0020140008,333942.58546,7396153.62068,31983,ok
0020140009,333938.69421999995,7396155.184459999,31983,ok
