sql_mestre,valor_transacao,data_transacao,natureza,fonte_ano
1710210466,30000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
1207805181,470000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
8509300755,436000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
8306200160,3100000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1570970053,240000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
1880300085,253742.91,2022-12-23,1.Compra e venda,itbi_1.xlsx
1200420281,490000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
7725400771,240940.29,2023-01-23,1.Compra e venda,itbi_1.xlsx
9901000262,217200.00,2025-01-14,1.Compra e venda,itbi_3.xlsx
2704000956,220060.57,2023-01-27,1.Compra e venda,itbi_1.xlsx
9302700984,246283.94,2025-01-23,1.Compra e venda,itbi_3.xlsx
5700705990,692500.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
6201201211,318000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
3030070079,315000.00,2023-01-13,1.Compra e venda,itbi_1.xlsx
1013900076,4300000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
1013120086,194100.31,2025-01-21,2.Cessão de direitos relativos a compromisso de compra e venda,itbi_3.xlsx
0605601747,300000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
4409300717,466952.54,2023-02-01,1.Compra e venda,itbi_1.xlsx
1616400986,1485000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
1173870696,250000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
1711900199,1100000.00,2023-01-02,1.Compra e venda,itbi_1.xlsx
1192980018,226973.77,2023-01-20,1.Compra e venda,itbi_1.xlsx
9310800194,235479.25,2023-01-20,1.Compra e venda,itbi_1.xlsx
3217302834,270000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
2390300020,234700.00,2024-12-23,1.Compra e venda,itbi_3.xlsx
3217303369,30000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
2140240071,280000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
