sql_mestre,area_terreno,area_construida,valor_m2_terreno,valor_m2_construcao,ano_construcao,fator_obsolescencia_oficial,tipo_terreno,esquinas_frentes,fracao_ideal,codlog,uso,padrao,endereco
1185410001,23031,750,1843.00,2350.00,1980,0.46,De esquina,3,1.0000,15032-0,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"AV DO ORATORIO, 172"
1230010010,151039,17154,839.00,1996.00,1976,0.39,De esquina,2,1.0000,18470-5,Clube esportivo,Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão C,"AV  PIRAJUSSARA, 4483"
1231280001,154520,177696,1826.00,2359.00,1988,0.59,De esquina,4,1.0000,17212-0,Clube esportivo,Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão D,"PC  ROBERTO GOMES PEDROSA, 1"
1231330027,520,289,2138.00,2315.00,1973,0.33,Normal,0,1.0000,01565-2,Residência,Residencial horizontal - padrão D,"R  MARECHAL DO AR ANTONIO A. NETO, 35"
1231480004,67500,22090,3103.00,2617.00,1974,0.35,De esquina,2,1.0000,14267-0,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão D,"AV  MORUMBI, 4500"
1231640062,100591,68457,1878.00,3197.00,2005,0.81,De duas ou mais frentes,7,1.0000,22169-4,Escola,Comercial vertical - padrão D,"R  CLEMENTINE BRENNE, 30"
1231940002,7800,3376,2114.00,2445.00,2021,0.96,Normal,0,1.0000,14267-0,"Outras edificações de uso comercial, com utilização múltipla",Residencial horizontal - padrão F,"AV  MORUMBI, 5594"
1231940014,1913,628,2000.00,2386.00,1976,0.39,Normal,0,1.0000,02259-4,Residência,Residencial horizontal - padrão E,"R BRIG ARMANDO TROMPOWSKY, 65"
1231990002,2000,744,1341.00,2445.00,1979,0.44,De duas ou mais frentes,2,1.0000,19804-8,Residência,Residencial horizontal - padrão F,"R  VIRIATO CORREIA, 99"
1250200047,21987,460,1682.00,1650.00,2000,0.75,De duas ou mais frentes,2,1.0000,14350-2,"Outras edificações de uso coletivo, com utilização múltipla",Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão B,"AV  MUTINGA, 12"
1273120001,838000,0,1286.00,0.00,0,0.00,Normal,0,1.0000,04857-7,Terreno,TERRENO,"ES DA CHAPADA, "
1282110020,81860,1061,785.00,1950.00,1960,0.20,De esquina,1,1.0000,27689-8,Clube esportivo,Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão D,"R  LUIS CARLOS GENTILE DE LAET, 2500"
1330310001,133903,1260,253.00,1634.00,1930,0.20,Normal,0,1.0000,03349-9,Residência,Residencial horizontal - padrão D,"ES DA BIACICA, 756"
1551930016,396,200,1228.00,1392.00,1993,0.66,De esquina,1,1.0000,70759-7,Templo,Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão B,"R  JOSE DOMINGUES DE PONTES, 7"
1672260004,288425,52261,966.00,2004.00,2001,0.76,De duas ou mais frentes,2,1.0000,09529-0,"Outras edificações de uso coletivo, com utilização múltipla",Comercial horizontal - padrão C,"ES DE ITAPECERICA, 5859"
1723120963,1750,1210,1353.00,1657.00,1994,0.67,De duas ou mais frentes,2,1.0000,04471-7,Templo,Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão C,"R  AZOR SILVA, 77"
1870070030,496,280,682.00,1860.00,1970,0.28,Normal,0,1.0000,12785-0,"Outras edificações de uso comercial, com utilização múltipla",Comercial horizontal - padrão B,"R PDE MANUEL CAMPELLO, 182"
1960180006,162,450,1692.00,2528.00,1970,0.28,Normal,0,1.0000,04736-8,"Prédio de apartamento, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios), com ou sem loja (predominância residencial)",Residencial vertical - padrão C,"AV  CELSO GARCIA, 1841"
1960180007,170,346,1692.00,2350.00,1984,0.52,De esquina,1,1.0000,04736-8,"Outras edificações de uso comercial, com utilização múltipla",Comercial horizontal - padrão B,"AV  CELSO GARCIA, 1835"
1960180008,76,70,2017.00,2198.00,1937,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 2"
1960180009,67,74,2017.00,2198.00,1937,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 4"
1960180010,68,75,2017.00,2198.00,1937,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 6"
1960180011,70,111,2017.00,2198.00,1937,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 8"
1960180012,71,110,2017.00,2198.00,1937,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 10"
1960180013,80,80,2017.00,2198.00,1937,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 12"
1960180014,54,115,2017.00,2198.00,1937,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 14"
1960180015,76,70,2017.00,2198.00,1937,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 16"
1960180016,54,108,2017.00,2249.00,1937,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão C,"R  CARUAPANA, 18"
1960180017,80,215,2017.00,2249.00,1995,0.69,De esquina,1,1.0000,30622-3,Residência,Residencial horizontal - padrão C,"R  CARUAPANA, 20"
1960180018,55,74,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 2"
1960180019,54,72,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 4"
1960180020,54,91,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 6"
1960180021,57,72,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 8"
1960180022,58,72,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 10"
1960180023,54,70,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 12"
1960180024,54,70,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 14"
1960180025,61,70,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 16"
1960180026,63,127,2018.00,2249.00,1963,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão C,"R DO CURIMA, 18"
1960180027,54,70,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 20"
1960180028,54,140,2018.00,2249.00,1994,0.67,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão C,"R DO CURIMA, 22"
1960180042,60,72,2018.00,2198.00,1965,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 19"
1960180043,59,74,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 17"
1960180044,54,110,2018.00,2198.00,1947,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 15"
1960180045,57,82,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 13"
1960180046,54,105,2018.00,2198.00,1953,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 11"
1960180047,54,84,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 9"
1960180048,57,93,2018.00,2198.00,1950,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 7"
1960180049,57,72,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 5"
1960180050,54,83,2018.00,2198.00,1933,0.20,Normal,0,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 3"
1960180051,59,148,2018.00,2198.00,1958,0.20,De esquina,1,1.0000,30620-7,Residência,Residencial horizontal - padrão B,"R DO CURIMA, 1"
1960180052,59,118,2017.00,2249.00,1956,0.20,De esquina,1,1.0000,30622-3,Residência,Residencial horizontal - padrão C,"R  CARUAPANA, 22"
1960180053,54,70,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 24"
1960180054,57,100,2017.00,2198.00,1954,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 26"
1960180055,54,70,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 28"
1960180056,54,70,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 30"
1960180057,54,70,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 32"
1960180058,54,70,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 34"
1960180059,57,106,2017.00,2198.00,1942,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 36"
