sql_mestre,x_utm23s,y_utm23s,origem_ponto,zona_v3,zona_18177,status
1041250021,326505.79,7399971.98,centroide_lote_cidadao,,ZC,ok_vigente_18177
1041250023,326535.07,7399978.14,centroide_lote_cidadao,,ZC,ok_vigente_18177
1041330001,326555.75,7399938.18,centroide_lote_cidadao,,ZC,ok_vigente_18177
1041360049,326726.47,7399911.48,centroide_lote_cidadao,,ZEM,ok_vigente_18177
1113540007,348836.48,7401672.95,centroide_lote_cidadao,,ZEU,ok_vigente_18177
1113540015,348860.68,7401671.78,centroide_lote_cidadao,,ZEU,ok_vigente_18177
1113540031,348889.06,7401656.82,centroide_lote_cidadao,,ZEU,ok_vigente_18177
1113540044,348800.23,7401681.21,centroide_lote_cidadao,,ZEU,ok_vigente_18177
1128490001,353032.90,7402160.85,centroide_lote_cidadao,,ZPI-1,ok_vigente_18177
1140560001,352173.66,7396156.11,centroide_lote_cidadao,,ZEPAM,ok_vigente_18177
1273120001,332116.25,7405406.71,centroide_lote_cidadao,,ZMa,ok_vigente_18177
1960180542,336778.21,7396625.74,centroide_lote_cidadao,,ZM,ok_vigente_18177
1960300001,336869.68,7396569.86,centroide_lote_cidadao,,ZM,ok_vigente_18177
3040090001,318473.92,7398796.87,nominatim_v5,,,ponto_sem_zona
3060600013,331609.55,7399520.44,nominatim_v5,ZER-1,,so_v3_ainda
