sql_mestre,x_utm23s,y_utm23s,origem_ponto,zona_v3,zona_18177,status
0050710483,333390.08,7393714.32,centroide_lote_cidadao,,ZC,ok_vigente_18177
0060020001,332627.91,7394740.25,centroide_lote_cidadao,,Praça/Canteiro,ok_vigente_18177
0060070273,332337.30,7395389.14,nominatim_v5,,Praça/Canteiro,ok_vigente_18177
0060140001,332265.59,7394122.44,centroide_lote_cidadao,,Praça/Canteiro,ok_vigente_18177
0060150001,332324.00,7394089.72,centroide_lote_cidadao,,Praça/Canteiro,ok_vigente_18177
0060260001,332733.67,7395163.83,centroide_lote_cidadao,,Praça/Canteiro,ok_vigente_18177
0060560035,345014.63,7396545.59,nominatim_v5,ZM-1,,so_v3_ainda
0060560036,345014.63,7396545.59,nominatim_v5,ZM-1,,so_v3_ainda
0070310214,331069.33,7395498.41,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0080190001,332202.21,7396780.92,centroide_lote_cidadao,,ZEM,ok_vigente_18177
0080730124,,,SEM_PONTO,,,sem_ponto_de_partida
0080900027,,,SEM_PONTO,,,sem_ponto_de_partida
0080900028,,,SEM_PONTO,,,sem_ponto_de_partida
0080900029,,,SEM_PONTO,,,sem_ponto_de_partida
0080900030,,,SEM_PONTO,,,sem_ponto_de_partida
0080900031,,,SEM_PONTO,,,sem_ponto_de_partida
0080900032,,,SEM_PONTO,,,sem_ponto_de_partida
0090080348,332250.16,7393957.55,centroide_lote_cidadao,,ZEIS-3,ok_vigente_18177
0090390140,,,endereco_iptu2026,,,sem_ponto_de_partida
0121260007,328016.73,7394798.34,centroide_lote_cidadao,,ZER-1,ok_vigente_18177
0150290001,327589.75,7392828.36,centroide_lote_cidadao,,ZC,ok_vigente_18177
0160090028,,,SEM_PONTO,,,sem_ponto_de_partida
0170660034,334609.93,7396724.07,centroide_lote_cidadao,,ZDE-1,ok_vigente_18177
0180230037,333585.05,7397365.90,centroide_lote_cidadao,,Praça/Canteiro,ok_vigente_18177
0200350045,331313.79,7396717.08,centroide_lote_cidadao,,ZEIS-3,ok_vigente_18177
0200510021,331116.31,7396501.12,centroide_lote_cidadao,,ZEM,ok_vigente_18177
0200530001,330205.57,7396633.18,centroide_lote_cidadao,,ZM,ok_vigente_18177
0210140009,329745.00,7396708.81,centroide_lote_cidadao,,ZM,ok_vigente_18177
0210390051,329218.82,7396427.29,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0210540013,329516.50,7396106.00,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0250610053,335439.84,7395417.69,centroide_lote_cidadao,,ZDE-1,ok_vigente_18177
0260430030,336332.06,7395575.53,centroide_lote_cidadao,,ZDE-1,ok_vigente_18177
0270840016,335150.44,7395088.31,centroide_lote_cidadao,,ZOE,ok_vigente_18177
0280220286,336188.59,7394293.68,centroide_lote_cidadao,,AC-1,ok_vigente_18177
0280460075,335706.17,7393929.92,centroide_lote_cidadao,,ZM,ok_vigente_18177
0280460320,336122.12,7393326.80,centroide_lote_cidadao,,ZM,ok_vigente_18177
0330220052,333017.13,7393329.07,centroide_lote_cidadao,,ZC,ok_vigente_18177
