sql_mestre,zona,ca_basico,fonte,na_aiu_sce
0090190090,ZEU,1,ZEU_u.shp,
0090190091,ZEIS-3,1,ZEIS_3.shp,
0090190092,ZEU,1,ZEU_u.shp,
0090190094,ZEU,1,ZEU_u.shp,
0090190095,ZEU,1,ZEU_u.shp,
0090200001,ZEIS-3,1,ZEIS_3.shp,
0090200002,ZEIS-3,1,ZEIS_3.shp,
0090200003,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090200004,ZEU,1,ZEU_u.shp,
0090200005,ZEU,1,ZEU_u.shp,
0090200007,ZEU,1,ZEU_u.shp,
0090200008,ZEU,1,ZEU_u.shp,
0090200009,ZEU,1,ZEU_u.shp,
0090200010,ZEU,1,ZEU_u.shp,
0090200011,ZEU,1,ZEU_u.shp,
0090200012,ZEU,1,ZEU_u.shp,
0090200015,ZEU,1,ZEU_u.shp,
0090200016,ZEU,1,ZEU_u.shp,
0090200021,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090200023,ZEU,1,ZEU_u.shp,
0090200024,ZEU,1,ZEU_u.shp,
0090200025,ZEU,1,ZEU_u.shp,
0090200026,ZEU,1,ZEU_u.shp,
0090200027,ZEU,1,ZEU_u.shp,
0090200028,ZEU,1,ZEU_u.shp,
0090200029,ZEU,1,ZEU_u.shp,
0090200030,ZEU,1,ZEU_u.shp,
0090200031,ZEU,1,ZEU_u.shp,
0090200032,ZEU,1,ZEU_u.shp,
0090200033,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090200034,ZEIS-3,1,ZEIS_3.shp,
0090200035,ZEIS-3,1,ZEIS_3.shp,
0090200038,ZEU,1,ZEU_u.shp,
0090210001,ZEU,1,ZEU_u.shp,
0090210015,ZEU,1,ZEU_u.shp,
0090210017,ZEU,1,ZEU_u.shp,
0090210023,ZEU,1,ZEU_u.shp,
0090210024,ZEU,1,ZEU_u.shp,
0090210026,ZEU,1,ZEU_u.shp,
0090210027,ZEU,1,ZEU_u.shp,
0090210030,ZEU,1,ZEU_u.shp,
0090210033,ZEU,1,ZEU_u.shp,
0090210034,ZEU,1,ZEU_u.shp,
0090210035,ZEU,1,ZEU_u.shp,
0090210036,ZEU,1,ZEU_u.shp,
0090210037,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210038,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210039,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210040,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210043,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210044,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210045,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210046,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210047,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210048,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210055,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210056,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210058,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210059,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090210063,ZEU,1,ZEU_u.shp,
0090210083,ZEU,1,ZEU_u.shp,
0090220001,ZEU,1,ZEU_u.shp,
0090220002,ZEU,1,ZEU_u.shp,
0090220003,ZEU,1,ZEU_u.shp,
0090220020,ZEU,1,ZEU_u.shp,
0090220021,ZEU,1,ZEU_u.shp,
0090220024,ZM,1,ZM_u.shp,
0090220062,ZEU,1,ZEU_u.shp,
0090220066,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090220072,ZEU,1,ZEU_u.shp,
0090220145,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090220148,ZEU,1,ZEU_u.shp,
0090220155,ZEU,1,ZEU_u.shp,
0090220159,ZEU,1,ZEU_u.shp,
0090220160,ZM,1,ZM_u.shp,
0090230011,ZEU,1,ZEU_u.shp,
0090230012,ZEU,1,ZEU_u.shp,
0090230017,ZEU,1,ZEU_u.shp,
0090230020,ZEU,1,ZEU_u.shp,
0090230022,ZEU,1,ZEU_u.shp,
0090230035,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090230099,ZEIS-5,1,ZEIS_5.shp,
0090240028,ZEIS-5,1,ZEIS_5.shp,
0090240046,ZEIS-5,1,ZEIS_5.shp,
0090240047,ZEIS-5,1,ZEIS_5.shp,
0090250026,ZEIS-5,1,ZEIS_5.shp,
0090250027,ZEIS-5,1,ZEIS_5.shp,
0090250033,ZEIS-3,1,GeoSampa(Lei18177→ZEIS-3)+Q3,
0090250034,ZEIS-5,1,ZEIS_5.shp,
0090250035,ZEIS-5,1,ZEIS_5.shp,
0090250036,ZEIS-5,1,ZEIS_5.shp,
0090250058,ZEIS-3,1,ZEIS_3.shp,
0090250404,ZEIS-5,1,ZEIS_5.shp,
0090260000,ZEIS-3,1,ZEIS_3.shp,
0090320000,ZEU,1,ZEU_u.shp,
0090320149,ZEU,1,ZEU_u.shp,
0090320446,ZEU,1,ZEU_u.shp,
0090320447,ZEU,1,ZEU_u.shp,
