sql_mestre,zona_no_ssot,endereco_geocodificado,dist_ao_centroide_oficial_m,fora_do_municipio,veredito,motivo
0130360011,ZC,"R  TEODORO SAMPAIO, 972",32,,APROVADO,ponto a 32 m do centroide oficial do lote
0150180191,ZC,"R  NAVARRO DE ANDRADE, 20",28,,APROVADO,ponto a 28 m do centroide oficial do lote
0330390480,ZEIS-3,"R DO LAVAPES, 344",28,,APROVADO,ponto a 28 m do centroide oficial do lote
0030150062,ZC,"R  PIRATININGA, 105",27,,APROVADO,ponto a 27 m do centroide oficial do lote
0350640003,ZC,"AV DOM PEDRO I, 1061",23,,APROVADO,ponto a 23 m do centroide oficial do lote
0410040001,ZM,"R  DOMINGOS FERNANDES, 583",22,,APROVADO,ponto a 22 m do centroide oficial do lote
0150130016,ZPR,"R DOS PINHEIROS, 456",21,,APROVADO,ponto a 21 m do centroide oficial do lote
0150130015,ZPR,"R DOS PINHEIROS, 458",20,,APROVADO,ponto a 20 m do centroide oficial do lote
0200520011,ZEM,"PC MAL DEODORO, 246",20,,APROVADO,ponto a 20 m do centroide oficial do lote
0180500267,ZC,"PC CEL FERNANDO PRESTES, 30",19,,APROVADO,ponto a 19 m do centroide oficial do lote
0200520006,ZEM,"PC MAL DEODORO, 198",19,,APROVADO,ponto a 19 m do centroide oficial do lote
0200520007,ZEM,"PC MAL DEODORO, 208",16,,APROVADO,ponto a 16 m do centroide oficial do lote
0150110004,ZPR,"R  ARTUR DE AZEVEDO, 1313",15,,APROVADO,ponto a 15 m do centroide oficial do lote
0150110021,ZPR,"R  PASCOAL DEL GAIZO, 40",15,,APROVADO,ponto a 15 m do centroide oficial do lote
0150120034,ZPR,"R  ESTELA SEZEFREDA, 42",15,,APROVADO,ponto a 15 m do centroide oficial do lote
0150130032,ZPR,"R DOS PINHEIROS, 466",15,,APROVADO,ponto a 15 m do centroide oficial do lote
0020570025,ZC,"R DO GASOMETRO, 665",14,,APROVADO,ponto a 14 m do centroide oficial do lote
0150120033,ZPR,"R  ESTELA SEZEFREDA, 46",14,,APROVADO,ponto a 14 m do centroide oficial do lote
0150130006,ZPR,"R DOS PINHEIROS, 526",14,,APROVADO,ponto a 14 m do centroide oficial do lote
0150130007,ZPR,"R DOS PINHEIROS, 518",14,,APROVADO,ponto a 14 m do centroide oficial do lote
0150130031,ZPR,"R DOS PINHEIROS, 464",14,,APROVADO,ponto a 14 m do centroide oficial do lote
0230490002,ZC,"PC  CORNELIA, 77",14,,APROVADO,ponto a 14 m do centroide oficial do lote
0230490004,ZC,"PC  CORNELIA, 89",14,,APROVADO,ponto a 14 m do centroide oficial do lote
0230490009,ZC,"PC  CORNELIA, 143",14,,APROVADO,ponto a 14 m do centroide oficial do lote
0230490011,ZC,"PC  CORNELIA, 153",14,,APROVADO,ponto a 14 m do centroide oficial do lote
0230490012,ZC,"PC  CORNELIA, 155",14,,APROVADO,ponto a 14 m do centroide oficial do lote
0230490013,ZC,"PC  CORNELIA, 161",14,,APROVADO,ponto a 14 m do centroide oficial do lote
0230490001,ZC,"PC  CORNELIA, 75",13,,APROVADO,ponto a 13 m do centroide oficial do lote
0230490003,ZC,"PC  CORNELIA, 87",13,,APROVADO,ponto a 13 m do centroide oficial do lote
0230490006,ZC,"PC  CORNELIA, 101",13,,APROVADO,ponto a 13 m do centroide oficial do lote
0230490010,ZC,"PC  CORNELIA, 145",13,,APROVADO,ponto a 13 m do centroide oficial do lote
0260150110,ZEMP,"R  PAULO ANDRIGHETTI, 125",13,,APROVADO,ponto a 13 m do centroide oficial do lote
1041280003,ZM,"AV  ITABERABA, 30",13,,APROVADO,ponto a 13 m do centroide oficial do lote
0150110005,ZPR,"R  ARTUR DE AZEVEDO, 1317",12,,APROVADO,ponto a 12 m do centroide oficial do lote
0150120044,ZPR,"R  PASCOAL DEL GAIZO, 53",12,,APROVADO,ponto a 12 m do centroide oficial do lote
0230490005,ZC,"PC  CORNELIA, 99",12,,APROVADO,ponto a 12 m do centroide oficial do lote
0230490008,ZC,"PC  CORNELIA, 135",12,,APROVADO,ponto a 12 m do centroide oficial do lote
1041250025,ZC,"LG DA MATRIZ DE NOSSA SENHORA DO O, 144",12,,APROVADO,ponto a 12 m do centroide oficial do lote
0150110058,ZPR,"R DR PHIDIAS DE BARROS MONTEIRO, 47",11,,APROVADO,ponto a 11 m do centroide oficial do lote
0150130008,ZPR,"R DOS PINHEIROS, 516",11,,APROVADO,ponto a 11 m do centroide oficial do lote
0150130017,ZPR,"R DOS PINHEIROS, 448",11,,APROVADO,ponto a 11 m do centroide oficial do lote
0150130038,ZPR,"R  ESTELA SEZEFREDA, 59",11,,APROVADO,ponto a 11 m do centroide oficial do lote
0200660049,ZEM,"PC MAL DEODORO, 171",11,,APROVADO,ponto a 11 m do centroide oficial do lote
1041250009,ZC,"LG DA MATRIZ DE NOSSA SENHORA DO O, 134",11,,APROVADO,ponto a 11 m do centroide oficial do lote
0030150002,ZC,"AV  RANGEL PESTANA, 1482",10,,APROVADO,ponto a 10 m do centroide oficial do lote
0150130020,ZPR,"R DOS PINHEIROS, 434",10,,APROVADO,ponto a 10 m do centroide oficial do lote
0260470092,ZDE-1,"R S LEOPOLDO, 207",10,,APROVADO,ponto a 10 m do centroide oficial do lote
0400910062,ZC,"R  CISPLATINA, 505",10,,APROVADO,ponto a 10 m do centroide oficial do lote
1960340001,ZM,"R  ADILSON FARIAS CLARO, 88",10,,APROVADO,ponto a 10 m do centroide oficial do lote
0150110008,ZPR,"R DR PHIDIAS DE BARROS MONTEIRO, 35",9,,APROVADO,ponto a 9 m do centroide oficial do lote
0150110015,ZPR,"R DR PHIDIAS DE BARROS MONTEIRO, 73",9,,APROVADO,ponto a 9 m do centroide oficial do lote
0150120032,ZPR,"R  ESTELA SEZEFREDA, 64",9,,APROVADO,ponto a 9 m do centroide oficial do lote
0150130018,ZPR,"R DOS PINHEIROS, 444",9,,APROVADO,ponto a 9 m do centroide oficial do lote
1960180016,ZM,"R  CARUAPANA, 18",9,,APROVADO,ponto a 9 m do centroide oficial do lote
1960180017,ZM,"R  CARUAPANA, 20",9,,APROVADO,ponto a 9 m do centroide oficial do lote
0150110011,ZPR,"R DR PHIDIAS DE BARROS MONTEIRO, 53",8,,APROVADO,ponto a 8 m do centroide oficial do lote
0260470093,ZDE-1,"R S LEOPOLDO, 205",8,,APROVADO,ponto a 8 m do centroide oficial do lote
1960230009,ZM,"R  OTAVIO PARIS, 61",8,,APROVADO,ponto a 8 m do centroide oficial do lote
1960260007,ZM,"R IRMA PAULA LOEBENSTEIN, 65",8,,APROVADO,ponto a 8 m do centroide oficial do lote
1960260009,ZM,"R IRMA PAULA LOEBENSTEIN, 85",8,,APROVADO,ponto a 8 m do centroide oficial do lote
1960290007,ZM,"R  OTAVIO PARIS, 38",8,,APROVADO,ponto a 8 m do centroide oficial do lote
1960290008,ZM,"R  OTAVIO PARIS, 48",8,,APROVADO,ponto a 8 m do centroide oficial do lote
1960350001,ZM,"R  MARIO COSTA, 18",8,,APROVADO,ponto a 8 m do centroide oficial do lote
