sql_mestre,zona_no_ssot,endereco_geocodificado,dist_ao_centroide_oficial_m,fora_do_municipio,veredito,motivo
0060150737,ZC,"R  MARCONI, 107",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060644368,ZC,"AV S LUIS, 84",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0070690023,ZC,"R  BENTO FREITAS, 306",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0090161113,ZEU,"R  PAMPLONA, 145",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0090960003,ZEU,"AV  PAULISTA, 1578",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230118,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230119,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230120,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230121,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230122,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230123,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230124,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230125,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230126,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230127,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230128,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230129,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230130,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230131,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230132,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230133,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230134,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230135,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230136,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230137,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230138,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230139,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230140,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230141,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230142,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230143,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230144,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230145,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230146,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230147,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230148,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0111230149,ZEU,"R  PARA, 222",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150200013,ZC,"R  MOURATO COELHO, 299",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150210015,ZC,"R  ARTUR DE AZEVEDO, 1638",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150210058,ZC,"R  MOURATO COELHO, 217",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150320008,ZC,"R  BENJAMIM EGAS, 160",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150320015,ZC,"R  BENJAMIM EGAS, 182",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330029,ZC,"R  ANTONIO BICUDO, 157",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330030,ZC,"R  ANTONIO BICUDO, 157",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330031,ZC,"R  ANTONIO BICUDO, 157",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330032,ZC,"R  ANTONIO BICUDO, 157",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330033,ZC,"R  ANTONIO BICUDO, 157",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330034,ZC,"R  ANTONIO BICUDO, 157",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330035,ZC,"R  ANTONIO BICUDO, 181",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330036,ZC,"R  ANTONIO BICUDO, 181",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330037,ZC,"R  ANTONIO BICUDO, 181",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330038,ZC,"R  ANTONIO BICUDO, 181",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330039,ZC,"R  ANTONIO BICUDO, 181",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330040,ZC,"R  ANTONIO BICUDO, 181",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330048,ZC,"R  ANTONIO BICUDO, 157",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330049,ZC,"R  ANTONIO BICUDO, 157",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330050,ZC,"R  ANTONIO BICUDO, 157",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330051,ZC,"R  ANTONIO BICUDO, 157",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150330052,ZC,"R  ANTONIO BICUDO, 157",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340037,ZC,"R  BENJAMIM EGAS, 167",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340038,ZC,"R  BENJAMIM EGAS, 167",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340039,ZC,"R  BENJAMIM EGAS, 167",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340041,ZC,"R  BENJAMIM EGAS, 167",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340042,ZC,"R  BENJAMIM EGAS, 167",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340045,ZC,"R  BENJAMIM EGAS, 167",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340046,ZC,"R  BENJAMIM EGAS, 145",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340047,ZC,"R  BENJAMIM EGAS, 145",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340048,ZC,"R  BENJAMIM EGAS, 145",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340049,ZC,"R  BENJAMIM EGAS, 145",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340050,ZC,"R  BENJAMIM EGAS, 145",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340054,ZC,"R  BENJAMIM EGAS, 145",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0150340152,ZC,"R  BENJAMIM EGAS, 145",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0200950527,ZC,"AV  HIGIENOPOLIS, 720",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0200950528,ZC,"AV  HIGIENOPOLIS, 720",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0200950529,ZC,"AV  HIGIENOPOLIS, 720",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0200950530,ZC,"AV  HIGIENOPOLIS, 720",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0200950531,ZC,"AV  HIGIENOPOLIS, 720",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0200950532,ZC,"AV  HIGIENOPOLIS, 720",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0200950533,ZC,"AV  HIGIENOPOLIS, 720",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0200950534,ZC,"AV  HIGIENOPOLIS, 720",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210195,ZM,"R  CUIABA, 1092",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210197,ZM,"R  CUIABA, 1088",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210199,ZEIS-3,"R  CUIABA, 1080",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210201,ZEIS-3,"R  CUIABA, 1076",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210203,ZM,"R  CUIABA, 1066",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210205,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210208,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210210,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210212,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210214,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210216,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210217,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210218,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210219,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210220,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210221,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210222,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210223,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210224,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210225,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0320210226,ZM,"R  CUIABA, 1068",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0400740093,ZC,"R  BOM PASTOR, 1010",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
1960310009,ZM,"R  ADILSON FARIAS CLARO, 126",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
