sql,nivel_preservacao,atos_tombamento,denominacao,endereco_secundario,endereco_oficial,subprefeitura,situacao,erro
"0010720098","TOMBADO","RES. 37/92 - TOMBAMENTO, PELO CONPRESP, DA AREA DO ANHANGABAU; A.E. DO EDIFICIO ALEXANDRE MACKENZIE (A.E. RES. SC 27/84 - SO CONDEPHAAT); A.E. DA RESIDENCIA ELIAS PACHECO CHAVES (A.E. RES. SC 19/83 - SO CONDEPHAAT; A.E. DO EDIFÍCIO DO ANTIGO BANCO DE SAO PAULO (A.E. RES. SC 44/03 - SO CONDEPHAAT)","","LIBERO BADARO 426, 438, R. C/ MIGUEL COUTO 58, R. DOUTOR","R DR MIGUEL COUTO, 00058","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0050030011","TOMBADO","RES. 37/92 - TOMBAMENTO, PELO CONPRESP, DA ÁREA DO ANHANGABAÚ; ÁREA ENVOLTÓRIA, PELO CONDEPHAAT, DA IGREJA DE SANTO ANTÔNIO (RES. SC S/N/70), DA RESIDÊNCIA ELIAS PACHECO CHAVES (RES. SC 19/83) E DO EDIFÍCIO ALEXANDRE MACKENZIE (RES. SC 27/84); ÁREA ENVOLTÓRIA, PELO IPHAN, DO CONJUNTO ARQUITETÔNICO DE SÃO FRANCISCO (PROC. IPHAN 0593-T-1959, SEI 01458.000278/2013-02)","","BENTO 45, 51, RUA SÃO","R S BENTO, 00045","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0050040019","TOMBADO","RES. 37/92 - TOMBAMENTO, PELO CONPRESP, DA ÁREA DO ANHANGABAÚ; ÁREA ENVOLTÓRIA, PELO CONPRESP, DA ÁREA DO CENTRO VELHO (RES. 17/07); ÁREA ENVOLTÓRIA, PELO IPHAN, DO CONJUNTO ARQUITETÔNICO DE SÃO FRANCISCO (PROC. IPHAN 0593-T-1959, SEI 01458.000278/2013-02)","ÁREA DO ANHANGABAÚ","JOSÉ BONIFÁCIO 124, 128, RUA","R JOSE BONIFACIO, 00124","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0050390019","TOMBADO","RES. 36/18 - TOMBAMENTO DO EIXO LIBERDADE-VERGUEIRO (ARTIGO 2º - ITEM 1); RES. 25/18 - TOMB. DO CAMINHO HISTORICO GLORIA-LAVAPES (LISTADO COMO AREA DE INTERESSE ARQUEOLOGICO - ANEXO II - ITEM 69); A.E. DA IG. DE SAO GONCALO (A.E. RES. SC S/N/78 - SO CONDEPHAAT); A.E. DO PALACIO DA JUSTICA (A.E. RES. SC 50/81 - SO CONDEPHAAT); A.E. DA CAPELA DOS AFLITOS (A.E. RES. SC S/N/78 -","","LIBERDADE 83, 85, PRACA DA","PC DA LIBERDADE AFRICA-JAPAO, 00083","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0050040013","TOMBADO","RES. 22/16 - TOMBAMENTO, PELO CONPRESP, DOS ANTIGOS IMÓVEIS ENQUADRADOS COMO Z8-200; ÁREA ENVOLTÓRIA, PELO CONPRESP E PELO CONDEPHAAT, DO SOLAR DA MARQUESA DE SANTOS (RES. SC S/N/71 E RES. 05/91); ÁREA ENVOLTÓRIA, PELO CONPRESP, DA ÁREA DO CENTRO VELHO (RES. 17/07); ÁREA ENVOLTÓRIA, PELO IPHAN, DO CONJUNTO ARQUITETÔNICO DE SÃO FRANCISCO (PROC. IPHAN 0593-T-1959, SEI 01458.000278/2013-02)","ANTIGA RÁDIO RECORD / ÁREA DO CENTRO VELHO","DIREITA 115, 119, 123, 133, RUA C/ QUINTINO BOCAIÚVA 18, 22, 24, 26, 30, RUA C/ JOSÉ BONIFÁCIO 50, 54, 58, 62, RUA","R QUINTINO BOCAIUVA, 00018","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0020660017","TOMBADO - PRESERVAÇÃO DE FACHADAS E VOLUMETRIA","RES. 17/07 - TOMB. DA AREA DO CENTRO VELHO (ANEXO I - ITEM 74); RES. 07/15 - TOMB. DOS ELEMENTOS DA AREA DO PATEO DO DO COLEGIO (A.E); RES. 11/02 - APT DA AREA DO CENTRO VELHO; A.E. DA CASA DA MARQUESA (TEO RES. 05/91); A.E. RES. SC S/N/71; ETC.","AREA DO CENTRO VELHO","VINTE E CINCO DE MARCO 330, R. C/ PEDRO II 712, PARQUE DOM","R VINTE E CINCO DE MARCO, 00330","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0010853786","SEM_DADO","","","","","","",""
"0090380034","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 678)","BAIRRO DA BELA VISTA","TREZE DE MAIO 1004, 1004-F, R.","R TREZE DE MAIO, 01004","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0010810012","TOMBADO","RES. 22/16 - TOMB. DO CONJUNTO IMOVEIS E LOGRADOUROS INTEGRANTES DA Z8-200 (ANEXO I - ITEM 130); RES. 17/07 - TOMB. DA AREA DO CENTRO VELHO (LISTADO COMO A.E. - VIDE ART. 4º); A.E. DO ED. ALEXANDRE MACKENZIE (A.E. RES. SC 27/84 - SO CONDEPHAAT); ETC.","","QUITANDA 126, R. DA","R DA QUITANDA, 00126","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0010530030","TOMBADO","RES. 37/92 - AREA DO ANHANGABAU; PROC. SC 24.507/86 - REVISAO, PELO CONDEPHAAT, DA DECISAO DE APT DO BAIRRO DE SANTA IFIGENIA (INSERIDO NA AREA DE ESTUDO)","BAIRRO DE SANTA IFIGENIA (INSERIDO NA AREA DE ESTUDO)","RIO BRANCO 52, 54, AV.","AV RIO BRANCO, 00052","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
