uso,tipo,tema,oficialidade,nome,path,bytes,drive_id
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 18.209 DE 20 DE DEZEMBRO DE 2024 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,121605,1n_JayRBtRQwFln-I9w4ZIkkD-CmzDzeR
USAR,PORTARIA,JURIDICO,OFICIAL,PORTARIA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 8 DE 30 DE JANEIRO DE 2025 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,103551,1K5cfQ5MdIBZ1fWEBaHHR1bZgX3m65A3D
USAR,PDF,OUTRO,OFICIAL,16-25 - Complementação da Resolução nº 54-CONPRESP-2018 - Página.pdf,01A_BRONZE_OFICIAL,181413,17vfCX5S0PkVezjgFnXODzX-4N34wDzSS
USAR,PORTARIA,JURIDICO,OFICIAL,PORTARIA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 8 DE 30 DE JANEIRO DE 2025 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,2833,1MImnzxA1r2BlbBV4Mwp5G2BN_MethYOy
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 63.423 DE 21 DE MAIO DE 2024 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,119333,1sas8ydB1sScHcaayEUnzTfu9u86ewTBn
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 57.521 DE 9 DE DEZEMBRO DE 2016 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,35345,1cLcR-dIBzxaN33NUOlbdiWKrdSEnWL5D
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 63.504 DE 14 DE JUNHO DE 2024 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,286954,1gjqGha6h6sccH46PLU6gg-kNLTsYcQML
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 58.707 DE 8 DE ABRIL DE 2019 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,5080,1sfx3o8V5o2C9nAbX-ICwwkpzhQozpemd
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 15.723 DE 24 DE ABRIL DE 2013 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,117399,13A_iif0Gqrnir_ekSK4EgK10Ep2yKA3y
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 58.955 DE 20 DE SETEMBRO DE 2019 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,32700,1_HCxp_3feAF1Ncjy9j6fU-CzTOG37rJh
USAR,OUTRO,OUTRO,OFICIAL,Certidão de Uso e Ocupação do Solo - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.md,01A_BRONZE_OFICIAL,7090,1xZ8n-eUJ053GxXWr7BGbLWX7SIJ00URf
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 57.536 DE 15 DE DEZEMBRO DE 2016 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,182513,1BkTmoyZnADnEzIf54EtBGKZLy_OFt-QY
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 15.150 DE 6 DE MAIO DE 2010 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,174736,1Ocwh_sOWHtFbzngsHizkNCMPiJNT9W8U
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 17.853 DE 29 DE NOVEMBRO DE 2022 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,100023,1zkxpy54H8fuHbWB6vrk22MpMaIL7TQML
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 57.565 DE 27 DE DEZEMBRO DE 2016 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,173199,1BWQ4XhyRUISLPM-6cipqsMeKjgbKkP2S
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 58.955 DE 20 DE SETEMBRO DE 2019 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,199016,1SGIS8NPL8-XZkigVteTPe08n_kIT8AS-
