1k1N1aiIyrsUwYA0VVbsMGBAYeg6sgNAv,,criao_e_regulamentao_do_inventrio_memria_paulistana_-_13_1570640688.md,text/markdown,md,7330,2026-03-08T22:55:05.639Z,2026-03-07T23:34:48Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1Y1FegL3ZU850VKK8g7Dt6PPCX8H47HEc,,Portal de Serviços e-SAJ3.md,text/markdown,md,2830,2026-03-08T22:55:07.397Z,2026-03-07T23:33:28Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1ZJAG8PsIjkriJwgDixMF0HmWoC8ABWja,,re0219raepalacioindustriaspdf_1556292128.md,text/markdown,md,10142,2026-03-08T22:54:59.619Z,2026-03-07T23:34:43Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1_CnHOTylWxitS6G4DHbJgCpQ_IMzakaM,,OUAguaBrancaFinanceiroOutorgaMar24_Publicacao.md,text/markdown,md,1359,2026-03-08T22:54:18.803Z,2026-03-07T23:33:26Z,TDC,OUTRO,DESCONHECIDO,NAO,
1m97SOxJ7kTP6NXpNmCPBe2A9nlbt3Jz9,,Portal de Serviços e-SAJ.md,text/markdown,md,3116,2026-03-08T22:54:05.856Z,2026-03-07T23:33:24Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1njMe0JF4M7zqAMctx5F-KMQtbVCLPYM8,,03-25 - Arquivamento da Mancha H da Res.11-23 - Página.md,text/markdown,md,2939,2026-03-08T22:54:02.977Z,2026-03-07T23:33:08Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1dEpGvTc-E-Uj5DwVtxgBuoLnt9dvtEWx,,OUAguaBranca31dez18_EstoqueConsumidoOutorga.md,text/markdown,md,12214,2026-03-08T22:53:53.788Z,2026-03-07T23:33:22Z,TDC,OUTRO,DESCONHECIDO,NAO,
1Am_9TCxIG-1r587dXnDaG7L9YagjWElZ,,Análise de Omissões da Legislação - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.md,text/markdown,md,5328,2026-03-08T22:53:47.567Z,2026-03-07T23:33:18Z,OUTRO,AUDITORIA,OFICIAL,NAO,
1lA7BlOaZKiQ2fUpEzVc6c8cVXHTkrF7W,,16-24 - Registro das práticas da Banda de Clarins e do Carrossel da Polícia Militar - Página.md,text/markdown,md,2846,2026-03-08T22:53:41.834Z,2026-03-07T23:33:11Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1NkqElrhrZ-SnTQDWWIPLSnEv2vBCi631,,Re0716RegulamentacaoProcedimentosRegistroBensImateriaisPDF_1457716829.md,text/markdown,md,10231,2026-03-08T22:53:29.637Z,2026-03-07T23:33:28Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1QLVyYy389ojhlk99yKEltqaFUkQJI0Fa,,09-25 - Registro como Patrimônio Cultural Imaterial da Festa do Divino Espírito Santo da Freguesia do Ó - Página.md,text/markdown,md,2891,2026-03-08T22:53:29.494Z,2026-03-07T23:33:09Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1dy-dqLMO7t0IWZbC1q1Ik7wONwpEAv0T,,19-24 - Arquivamento das Manchas A e B e ID 9 a 11 da Res.11-23 - Página.md,text/markdown,md,17649,2026-03-08T22:53:27.114Z,2026-03-07T23:33:12Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1Szg5RVsUua3KItEWe1tV3ySMQc6ZWt3P,,datalake_delta_load_20260307_220830.json,application/json,json,3163,2026-03-08T22:54:10.430Z,2026-03-07T22:08:38Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1YCjVZWtyawx6-hAd6xxulhNatBXT83_4,,MANUAL DE PADRONIZAÇÃO TÉCNICA - RAG PIPELINE.pdf,application/pdf,pdf,39538,2026-03-08T22:53:49.413Z,2026-03-07T18:10:31Z,OUTRO,CODEX_DOC,DESCONHECIDO,NAO,
195oCFJccSS4PbNxRKhOcS2ypnsi1KkRz,,GUIA DE ESTRUTURA DE PASTAS - GOOGLE DRIVE.pdf,application/pdf,pdf,33267,2026-03-08T22:53:15.408Z,2026-03-07T18:11:11Z,OUTRO,PDF,DESCONHECIDO,NAO,
17lqFWflZFhzHC_ZUSachrhJLsP-yvio8,,DECRETO Nº 57.565 DE 27 DE DEZEMBRO DE 2016 « Catálogo de Legislação Municipal.md,text/markdown,md,23317,2026-03-08T21:55:45.533Z,2026-03-07T23:33:17Z,JURIDICO,DECRETO,OFICIAL,NAO,
1AwOZmpCl1-doFSb4_NpGTSZj3oqI8N-E,,06-22 - Patrimônio Cultural Imaterial - Novena solene em honra a Nossa Senhora do Carmo.md,text/markdown,md,3483,2026-03-08T21:54:23.192Z,2026-03-07T23:33:10Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1sYrsw-Z2kCO6ZTgITCvr_CwFJRcKT5Cl,,LEI Nº 18.081 DE 19 DE JANEIRO DE 2024 « Catálogo de Legislação Municipal.md,text/markdown,md,131846,2026-03-08T21:54:14.574Z,2026-03-07T23:33:30Z,JURIDICO,LEI,OFICIAL,NAO,
1nc5iqLopzEGGfQ-LbmhzLB7yaAxUkZQW,,DECRETO Nº 58.176 DE 3 DE ABRIL DE 2018 « Catálogo de Legislação Municipal.md,text/markdown,md,4211,2026-03-08T21:54:09.856Z,2026-03-07T23:33:21Z,JURIDICO,DECRETO,OFICIAL,NAO,
1j0e8oMXpc0OKKv3fZDZlwOTYOo9yVja8,,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CAEHIS Nº 2 DE 2 DE SETEMBRO DE 2021 « Catálogo de Legislação Municipal.md,text/markdown,md,2249,2026-03-08T21:54:06.839Z,2026-03-07T23:33:31Z,GOVERNANCA,OUTRO,DESCONHECIDO,NAO,
1AbxKI1lDoRumF1ADe4RU2kA9dT5jXvMj,,LEI Nº 17.853 DE 29 DE NOVEMBRO DE 2022 « Catálogo de Legislação Municipal.md,text/markdown,md,5569,2026-03-08T21:52:50.099Z,2026-03-07T23:33:24Z,JURIDICO,LEI,OFICIAL,NAO,
1HyXRqReXj0BskuUkWhPfb1MEwODsGRjQ,,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 150 DE 22 DE AGOSTO DE 2022 « Catálogo de Legislação Municipal.md,text/markdown,md,4425,2026-03-08T21:52:38.805Z,2026-03-07T23:33:29Z,GOVERNANCA,OUTRO,DESCONHECIDO,NAO,
1T2N3O7wZfvvDkcLG5PdoPLiX9783nnRM,,DECRETO Nº 58.707 DE 8 DE ABRIL DE 2019 « Catálogo de Legislação Municipal.md,text/markdown,md,5080,2026-03-08T21:51:36.272Z,2026-03-07T23:33:18Z,JURIDICO,DECRETO,OFICIAL,NAO,
16cCFratLtQ1YahiIP7nNKLjF-1l-uv9q,,LEI Nº 15.150 DE 6 DE MAIO DE 2010 « Catálogo de Legislação Municipal.md,text/markdown,md,23317,2026-03-08T21:51:12.951Z,2026-03-07T23:33:21Z,JURIDICO,LEI,OFICIAL,NAO,
1C8KAOTZ4RrA_mzTAPwpiVfm0Xsk8Ehq2,,08-23 - Zepec-APC - Santa Marina Atlético Clube - Página.md,text/markdown,md,3546,2026-03-08T21:51:07.392Z,2026-03-07T23:33:10Z,TDC,OUTRO,DESCONHECIDO,NAO,
1IUy8x8vlq5HEGBtf2F0cDPaF5iajQM5M,,re0320exclusaoedestherwiltonpaesdealmeidares3792pdf_1600964301.md,text/markdown,md,6000,2026-03-08T21:50:05.284Z,2026-03-07T23:34:48Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
