sql_mestre,endereco,lote_geosampa,zona_ok,vedado_art124,classe_preliminar,achou_geosampa,area_m2_geosampa,classe_final
0381050000,,sim,nao,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0381040000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0381030000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0360100000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0380980000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0370360647,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0370340000,,sim,nao,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0370350005,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0370360000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0370350006,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0370350015,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0370360113,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0370260000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0370350000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0370360110,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0370360111,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0370360112,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0370350016,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
1230010000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0320210000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
