sql_mestre,setor,quadra,lote,nome_bem,endereco_mestre,distrito,proprietario,fonte_dono,tipo_zepec,esfera,estado_venda,certeza,negociavel,motivo_negociavel,sinais_revisar,m2_ja_transferido,n_transferencias,valor_pecuniario_rs,status_fundurb,intercorrencia_fundurb,base_periodo_fundurb_rs,tem_declaracao,tem_certidao,esgotado,data_ref,origens,obs,area_terreno_m2,area_construida_m2,v_venal_m2_iptu,v_outorga_m2_q14,zona,ca_basico,pcpt_m2,preco_proxy_brl,uso_iptu,cobertura_oficial,memoria_calculo,pendencia_calculo
0010460003,001,046,0003,Área do Anhangabaú / Edifício Inss / Antiga Sede do Iapc / Bairro de Santa Ifigênia / Revisão 2018,"Viaduto Santa Ifigênia, 266, 111, 157",República,,,tombado,municipal+estadual,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,1320,17000,8950.00,7739.57,ZEPEC_APC,,,,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",IPTU2026+Q14+Zona,,CAbás: zona ZEPEC_APC sem CA no Quadro 3 (overlay — resolver zona-base)
0060390020,006,039,0020,Bairro da Bela Vista,"Rua Conselheiro Ramalho, 67, 141",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,420,800,5894.00,3572.47,ZC,1,420.00,1500437.40,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",IPTU2026+Q14+Zona,PCpt = Atc(420) × CAbas(1) × Fi(1) = 420.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060320005,006,032,0005,Área do Anhangabaú,"Rua Álvaro de Carvalho, 97, 103",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,184,638,6924.00,6013.27,ZC,1,184.00,1106441.68,"Outras edificações de uso coletivo, com utilização múltipla",IPTU2026+Q14+Zona,PCpt = Atc(184) × CAbas(1) × Fi(1) = 184.00 m²,OK (Atc+CAbás+V) — cálculo completo
0080810015,008,081,0015,Imóveis Enquadrados Como Z8-200 (atual Zepec) No Bairro de Santa Ifigênia,"Rua Santa Ifigênia, 395, 399",República,,,tombado,municipal+estadual,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2019-10-30,TOMBADO_CADASTRO,,281,460,19674.00,18181.99,ZC,1,281.00,5109139.19,Loja,IPTU2026+Q14+Zona,PCpt = Atc(281) × CAbas(1) × Fi(1) = 281.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060730017,006,073,0017,Bairro da Bela Vista,"Rua São Domingos, 309",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,75,120,5784.00,3346.84,ZEPEC_APC,,,,Cortiço,IPTU2026+Q14+Zona,,CAbás: zona ZEPEC_APC sem CA no Quadro 3 (overlay — resolver zona-base)
0050240000,005,024,0000,Bairro da Bela Vista,"Avenida Brigadeiro Luís Antônio, 384, 388, 392",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,,,,,ZC,1,,,,Zona,,Atc: SQL sem cadastro no IPTU
0060480010,006,048,0010,Bairro da Bela Vista,"Rua Major Diogo, 275, 277, 279",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,400,592,6231.00,4063.69,ZC,1,400.00,1625476.00,Residência e outro uso (predominância residencial),IPTU2026+Q14+Zona,PCpt = Atc(400) × CAbas(1) × Fi(1) = 400.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060170045,006,017,0045,Área do Anhangabaú,"Avenida São João, 393, 393, 399, 401, 403",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,232,1160,10173.00,8073.31,ZC,1,232.00,1873007.92,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",IPTU2026+Q14+Zona,PCpt = Atc(232) × CAbas(1) × Fi(1) = 232.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060070000,006,007,0000,Área do Anhangabaú,"Rua Basílio da Gama, 86, 106, 59, 83",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,,,,,ZC,1,,,,Zona,,Atc: SQL sem cadastro no IPTU
0060070413,006,007,0413,Área do Anhangabaú / Edifício Thomas Edison,"Rua Bráulio Gomes, 22, 36, 44, 201",República,G5 JOMAFIL FUNDO DE INVESTIMENTO IMOBILIARIO FII,ANUAL-2022 (alvaras),tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,810,14146,10331.00,8471.69,ZC,1,810.00,6862068.90,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",IPTU2026+Q14+Zona,PCpt = Atc(810) × CAbas(1) × Fi(1) = 810.00 m²,OK (Atc+CAbás+V) — cálculo completo
