sql_mestre,classe,achou,area_m2,props
0090420000,RECUPERAVEL,sim,445.00,{"cd_identificador":2014614;"cd_identificador_original_lote":8794229;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"042";"cd_subquadra_fiscal":null;"cd_condominio":"04";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"072850";"nm_logradouro_completo":"R FORTALEZA";"cd_numero_porta":"35 45";
0090970000,RECUPERAVEL,sim,1065.00,{"cd_identificador":4794235;"cd_identificador_original_lote":9917599;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"097";"cd_subquadra_fiscal":null;"cd_condominio":"08";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"196134";"nm_logradouro_completo":"R S VICENTE";"cd_numero_porta":"248";"t
0090260000,RECUPERAVEL,sim,800.00,{"cd_identificador":1983711;"cd_identificador_original_lote":8793739;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"026";"cd_subquadra_fiscal":null;"cd_condominio":"08";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"088714";"nm_logradouro_completo":"R HUMAITA";"cd_numero_porta":"349";"tx_
0090390000,RECUPERAVEL,sim,1734.00,{"cd_identificador":1959060;"cd_identificador_original_lote":8794877;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"039";"cd_subquadra_fiscal":null;"cd_condominio":"01";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"121657";"nm_logradouro_completo":"AV BRIG LUIS ANTONIO";"cd_numero_porta"
0090670000,RECUPERAVEL,sim,620.00,{"cd_identificador":1962009;"cd_identificador_original_lote":8795224;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"067";"cd_subquadra_fiscal":null;"cd_condominio":"02";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"191540";"nm_logradouro_completo":"R TREZE DE MAIO";"cd_numero_porta":"142
0090530000,RECUPERAVEL,sim,1000.00,{"cd_identificador":1990111;"cd_identificador_original_lote":8796046;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"053";"cd_subquadra_fiscal":null;"cd_condominio":"07";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"006947";"nm_logradouro_completo":"R DR ALFREDO ELLIS";"cd_numero_porta":"
0090640000,RECUPERAVEL,sim,1076.00,{"cd_identificador":1984056;"cd_identificador_original_lote":8794383;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"064";"cd_subquadra_fiscal":null;"cd_condominio":"03";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"043478";"nm_logradouro_completo":"R S CARLOS DO PINHAL";"cd_numero_porta"
0090040000,RECUPERAVEL,sim,197.00,{"cd_identificador":1984086;"cd_identificador_original_lote":8795405;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"004";"cd_subquadra_fiscal":null;"cd_condominio":"02";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"121789";"nm_logradouro_completo":"R DR LUIS BARRETO";"cd_numero_porta":"1
0090480000,RECUPERAVEL,sim,3948.00,{"cd_identificador":1989199;"cd_identificador_original_lote":8794669;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"048";"cd_subquadra_fiscal":null;"cd_condominio":"04";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"156566";"nm_logradouro_completo":"AV PAULISTA";"cd_numero_porta":"854";"t
0090410000,RECUPERAVEL,sim,1454.00,{"cd_identificador":1988771;"cd_identificador_original_lote":8794918;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"041";"cd_subquadra_fiscal":null;"cd_condominio":"04";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"121657";"nm_logradouro_completo":"AV BRIG LUIS ANTONIO";"cd_numero_porta"
0090010000,RECUPERAVEL,sim,139.00,{"cd_identificador":1978763;"cd_identificador_original_lote":8795955;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"001";"cd_subquadra_fiscal":null;"cd_condominio":"05";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"177156";"nm_logradouro_completo":"R SAMUEL DAS NEVES";"cd_numero_porta":"
0090050000,RECUPERAVEL,sim,254.00,{"cd_identificador":1988535;"cd_identificador_original_lote":8794752;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"005";"cd_subquadra_fiscal":null;"cd_condominio":"03";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"175170";"nm_logradouro_completo":"R RUI BARBOSA";"cd_numero_porta":"172 1
