sql_mestre,endereco,lote_geosampa,zona_ok,vedado_art124,classe_preliminar
0010450000,,sim,sim,nao,RECUPERAVEL
0060160000,,sim,sim,nao,RECUPERAVEL
0060230000,,sim,sim,nao,RECUPERAVEL
0060250000,,sim,sim,nao,RECUPERAVEL
0070520000,,sim,sim,nao,RECUPERAVEL
0050240000,,sim,sim,nao,RECUPERAVEL
0060070000,,sim,sim,nao,RECUPERAVEL
0060550000,,sim,sim,nao,RECUPERAVEL
0060640000,,sim,sim,nao,RECUPERAVEL
0060320000,,sim,sim,nao,RECUPERAVEL
0060080000,,sim,sim,nao,RECUPERAVEL
0050230000,,sim,sim,nao,RECUPERAVEL
0010580000,,sim,sim,nao,RECUPERAVEL
0070860000,,sim,sim,nao,RECUPERAVEL
0070850000,,sim,sim,nao,RECUPERAVEL
0060270000,,sim,sim,nao,RECUPERAVEL
0080530000,,sim,sim,nao,RECUPERAVEL
0060090000,,sim,sim,nao,RECUPERAVEL
0070870000,,sim,sim,nao,RECUPERAVEL
0060170000,,sim,sim,nao,RECUPERAVEL
0060060000,,sim,sim,nao,RECUPERAVEL
0070690000,,sim,sim,nao,RECUPERAVEL
0050340000,,sim,sim,nao,RECUPERAVEL
0060510000,,sim,sim,nao,RECUPERAVEL
0060530000,,sim,sim,nao,RECUPERAVEL
0070710000,,sim,sim,nao,RECUPERAVEL
0070720000,,sim,sim,nao,RECUPERAVEL
0010480000,,sim,sim,nao,RECUPERAVEL
0060630000,,sim,sim,nao,RECUPERAVEL
0080610000,,sim,sim,nao,RECUPERAVEL
0010550161,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0060580000,,sim,sim,nao,RECUPERAVEL
0060360000,,sim,sim,nao,RECUPERAVEL
0070750000,,sim,sim,nao,RECUPERAVEL
0060560000,,sim,sim,nao,RECUPERAVEL
0502160000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0200620043,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0200000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0070010000,,sim,nao,nao,RECUPERAVEL
0200520000,,sim,sim,nao,RECUPERAVEL
0080130000,,sim,sim,nao,RECUPERAVEL
0070060000,,sim,nao,nao,RECUPERAVEL
0200730000,,sim,sim,nao,RECUPERAVEL
0070130000,,sim,sim,nao,RECUPERAVEL
0080450000,,sim,sim,nao,RECUPERAVEL
0200410000,,sim,sim,nao,RECUPERAVEL
0180000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0870000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0880000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0900130015,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0882590001,,sim,sim,nao,RECUPERAVEL
1551910001,,sim,sim,nao,RECUPERAVEL
0050440000,,sim,sim,nao,RECUPERAVEL
0050220000,,sim,sim,nao,RECUPERAVEL
0050220021,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0050120000,,sim,sim,nao,RECUPERAVEL
0050190000,,sim,sim,nao,RECUPERAVEL
0010490670,,sim,sim,nao,RECUPERAVEL
0050210000,,sim,sim,nao,RECUPERAVEL
0050150000,,sim,sim,nao,RECUPERAVEL
0010800000,,sim,sim,nao,RECUPERAVEL
0050200000,,sim,sim,nao,RECUPERAVEL
0020000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0010000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0020590000,,sim,sim,nao,RECUPERAVEL
0030030000,,sim,sim,nao,RECUPERAVEL
0020220094,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0050300000,,sim,sim,nao,RECUPERAVEL
0020740000,,sim,sim,nao,RECUPERAVEL
0010730000,,sim,sim,nao,RECUPERAVEL
0020600000,,sim,sim,nao,RECUPERAVEL
0050110000,,sim,sim,nao,RECUPERAVEL
0010420000,,sim,sim,nao,RECUPERAVEL
0010840000,,sim,sim,nao,RECUPERAVEL
0050140000,,sim,sim,nao,RECUPERAVEL
0010720000,,sim,sim,nao,RECUPERAVEL
0030040000,,sim,sim,nao,RECUPERAVEL
0010640000,,sim,sim,nao,RECUPERAVEL
0010810000,,sim,sim,nao,RECUPERAVEL
0050390000,,sim,sim,nao,RECUPERAVEL
0010680000,,sim,sim,nao,RECUPERAVEL
0050050005,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0050100000,,sim,sim,nao,RECUPERAVEL
