sql,endereco,distrito,zona,tipo_zepec,esfera,nome_bem,area_terreno_m2,pcpt_m2,saldo_vendavel_m2,parcelas_anuais,valor_ref_art128_brl,valor_bruto_brl,valor_teto_art128_brl,base_vencedora_art128,estado_venda,ja_transferido_m2,n_transferencias,data_declaracao,data_certidao,data_referencia,renovacao_70pct_10anos_art129,renovacao_100pct_15anos_art129,conservacao_art129,negociavel,indicio_processo,proprietario,fonte
0050660009,"Rua Lins, 1",Liberdade,ZM,tombado,municipal,Área do Glicério - Item 8 / Igepac Liberdade,136,163.20,163.20,,101647.49,406589.95,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330210069,"Rua Taguá, 117",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,77,92.40,92.40,,92202.73,368810.90,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0050840001,"Rua Conselheiro Furtado, 445",Liberdade,ZEU,tombado,municipal,Área do Glicério - Item 8 / Igepac Liberdade,547,547.00,547.00,,471594.68,1886378.73,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330210077,"Rua Taguá, 161",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,77,92.40,92.40,,92202.73,368810.90,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330190021,"Rua José Ferreira Rocha, 26",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,75,90.00,90.00,,94625.33,378501.30,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330200009,"Rua José Ferreira Rocha, 34",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,75,90.00,90.00,,57982.50,231930.00,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330210065,"Rua Taguá, 95",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,73,87.60,87.60,,87412.98,349651.90,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330210064,"Rua Taguá, 93",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,73,87.60,87.60,,87412.98,349651.90,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330220054,"Rua São Joaquim, 250, 256",Liberdade,ZEU,tombado,municipal,Conjunto São Joaquim – Pirapitingui / Igepac Liberdade,212,254.40,254.40,,329797.17,1319188.66,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0050870001,"Avenida da Liberdade, 450, 452",Liberdade,ZEU,tombado,municipal,Imóveis Enquadrados Como Z8-200 - Anexo I - Item 80,273,327.60,327.60,,802447.19,3209788.76,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
