sql_receptor,endereco_receptor,distrito_receptor,metragem_compra_m2,area_cedida_equivalente_m2,valor_pecuniario_rs,n_certidao,ano_certidao,data_publicacao,sql_cedente_de_quem_comprou,uso_receptor,nome_comprador,fonte
0970090001,"Av Mofarrej, 1500",Vila Leopoldina,4286.5,944.16,,003/08,2008,2008-08-16,0090190034,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0970020010,"Av Mofarrej, 1130",Vila Leopoldina,3147,693.17,,004/08,2008,2008-08-16,0090190034,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0620800182,"R Coronel Gustavo Santiago, 251, 265, 281",Tatuapé,3195.74,1247.17,,001/09,2009,2009-02-18,0070540001,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0621460006,"R Coronel Gustavo Santiago, 94",Tatuapé,2246.75,881.67,,002/09,2009,2009-05-23,0070540001,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0980580009,"R Sacadura Cabral, 160, 186, 206 / R Gago Coutinho 363, 365, 379, 387/ R Guaricanga, 78",Lapa,3662.88,2977.95,,004/10,2010,2010-05-15,0070540001,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0380840002,"R Carlos Petit, 205, 215 e 225 / R Joaquim Távora, 229 a 259",Vila Mariana,6238.74,"2.149,72",,015/19,2019,2019-08-24,0070540001,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0210580021,"R Bartira, 996 a 1042 / R Apiacás, 285 a 269",Perdizes,8311.57,3265.07,,032/18,2018,2019-01-23,0070540001,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0380720039,"R Gregório Serrão, 146, 152, 154, 160, 164, 166, 172, 182, 194, 204, 206, 214, 218, 232",Vila Mariana,8908.09,2260.4,,007/19,2019,2019-06-26,0070540001,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0100230116,"R da Consolação, 1559 a 1637 / R Bela Cintra, 306 a 314",Consolação,3834.84,4252.46,,025/19,2019,2019-12-14,0070540001,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0874600001,"R Engenheiro Francisco Pitta, 702",Santo Amaro,1682.93,1663.14,,001/09,2010,2010-03-02,3060280040,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
