hash_md5,canonico_id,dup_id,dup_status,motivo
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1v_eb9tyrOHk0qsBFQjGk_gPrJ9rzqkr5,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1j22wt6DYvqB9t6khrdIz2-PzB6sN4usK,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1r8kXPeBpzs4rmJE7JoeF2qm-aAxlO9PH,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1PuO2wyKZeXyEvibtdkRE4vn5RuejWstS,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1I0Zden8s7K8WyZxPaQ4ZoueYKqKi-T5L,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1GwE10ccA5XPcJ4KWbRFyIMaC6F1wI_qc,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,17EK318mHaIqnV6zngNqsKWfHLsG7mOus,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1KpeyXXyOwk1itnRe2VLZqtjKPqU43i0M,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,11X9pA3X7B37e4Kz6mjpfjGi7FxsIlD8e,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1E-U2w2uuBUOUWrP_gQahCKJAKbo7MIY1,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1-1l5WX_B4kJaTZZqs71Mc0Vrfq5_1TB6,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1NNgCwbalBxqbiajwAxASzPDjA2n_KNeB,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1UmiZxDGYHBXoVUMwu0fh5FvorFHZU0ZZ,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,11ENoXVqE2vwLPnRV5WthJK9Acz6mXqMg,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1XoLIjyMLOe6RjBnyp0_Hn6z0ukrc1he4,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1BeLw8VxIGtdKgbM5vK2CrJZJPaQMwO_S,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1k7dWQnUiDP4SA-2b0cqaZH1xn_2lMZyz,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1bvTWNnM0i10uPcmzLmaVBYSIEjvar4n4,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1zTbM-1npNoCt5xx-UQ4gscJRr2z4EtwN,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1FqzSYgJSvxMaF2U7GmmvrjZVdtA8eAFo,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1AHFkXkEcOm7ZXherKPNzZNirVrtRBPdF,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1z6_rUUaLWE2y26u3L7AfL06hGS4S2vz0,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
