bucket,titulo,drive_id,tamanho
geo-shapefiles,2019_47_Sao-Paulo_Casa-Guilherme-de-Almeida_1753238121058.pdf,1L44KrS5xuQtLS_6GbSNhN8NuY9KuZU8q,0.7 MB
geo-shapefiles,2019_49_Sao-Paulo_-Conjunto-de-bens-imoveis-no-bairro-de-Higienopolis_1753238164725.pdf,19sbDcnTPqwzIky8FipXy61MVZK_f5qfp,0.3 MB
geo-shapefiles,2020_dis_mpfreire.pdf,1mqyX_tuiTfzdaT7t_gjG7aDlzKPxIIjz,0.7 MB
geo-shapefiles,2021_18_Sao-Paulo_Igreja-da-Ordem-Terceira-de-Nossa-Senhora-do-Carmo_1753237189376.pdf,1vhs71GY8VBMECSjicgMKJjy4TMIfVXC-,0.3 MB
geo-shapefiles,2021_37_Sao-Paulo_Bairros-dos-Jardins_1753237339808.pdf,1xzCMrcJDFHBdqa-q811T91lJXGIrPSYx,1.9 MB
geo-shapefiles,2022_07_Campinas_Conjunto-da-Estacao-Ferroviaria-Guanabara_1753232568474.pdf,1wnEAf548xVcPr_nQKmAT057TiQzo87NE,0.4 MB
geo-shapefiles,2022_11_Sao-Paulo_RAE_Largo-da-Memoria_1753232569595.pdf,125FZ_kbK_06-s-RQilfk6xWsOsSx-3qA,0.3 MB
geo-shapefiles,2022_49_Sao-Paulo_RAE-Casa-Mario-de-Andrade_1753232569470.pdf,1h6UgLOtmaV7zJZ4dEQvyYXXsZhCKujO6,0.7 MB
geo-shapefiles,2022_51_Arapei_Fazenda-Rialto_1753232569256.pdf,10YmwE3GPCe1za5pm-FMoJwCNCOZ_f0GM,0.3 MB
geo-shapefiles,2022_52_Sao-Paulo_RAE-Escola-de-Primeiras-Letras_1753232569115.pdf,1RfrfI0GNr0tMoYXyHvZmS5Tr3-TUECxt,0.4 MB
geo-shapefiles,20240000801524.pdf,1_NbWz_JixDrx5UDFeBqsvf1jjIU3rCLS,0.5 MB
geo-shapefiles,2024_01_15 - Livreto Cartilha de Calçadas 2024 - Vrs NOVA NORMA - V12-1-24_compressed(1).pdf,1U6NBRhg8tAehd_OunFQndamfyKun1gYE,7.7 MB
geo-shapefiles,2024_10_Sao-Paulo_RAE-Igreja-de-Sao-Goncalo_definida_1753230558796.pdf,1puOg1pGx-huZXYEEyhtdtV4b8GLFVyd8,0.7 MB
geo-shapefiles,2024_36_Sao-Paulo_RAE-Matadouro-da-Vila-Mariana_1753230559005.pdf,1FxFAftg9JeT2Ep2B4jKCt_iA0VB7_ZbS,0.4 MB
geo-shapefiles,2024_37_Sao-Jose-dos-Campos_RAE-Sanatorio-Vicentina-Aranha_1753230558904.pdf,16XogPXPkqzh8GqSilgpti2SH6v3sGTQe,0.2 MB
geo-shapefiles,20250000963993.pdf,1Vwdtm0g1r3yahagPc0rnG3sEEneXjnxF,0.5 MB
geo-shapefiles,2025_03_Sao-Paulo_RAE-Casa-do-Sitio-do-Tatuape_1753229566669.pdf,1uaEp9dO9muYx2JgziRZwFv5D_lV4blbx,0.4 MB
geo-shapefiles,2025_05_Sao-Paulo_RAE-Sede-do-Sitio-Ressaca_1753229566431.pdf,1v3oRxRtHztM-6hQ7WwJfg9TUVZfwY8R0,0.7 MB
geo-shapefiles,2025_06_Sao-Paulo_RAE-Igreja-Nossa-Senhora-da-Boa-Morte_1753229566247.pdf,1gZRZPIlaFj6duS-vcOl4BTNZ6MIXY6ND,0.9 MB
geo-shapefiles,2025_07_Itu_RAE-Pedreira-de-Varvitos_1753229567444.pdf,1QGyZJmX0YPT06z4HO71CqNfTr-bKl5N8,0.4 MB
geo-shapefiles,2025_08_Sao-Sebastiao_RAE-Casa-da-Esperanca_1753229567334.pdf,1QIF6et2lKR4wfjUU2-EM8UqNTwoy6NcT,0.2 MB
geo-shapefiles,2025_19_Sao-Paulo_RAE-Casa-de-Vidro-do-Morumbi_1753229567245.pdf,1UOdqOhJkK1YtFzHNP7QXM-xpE3MV73hF,0.4 MB
