bp_nome,bp_setor,bp_quadra,bp_lote,bp_cond,bp_compres,bp_condeph,bp_iphan,bp_enderec,bp_link,bp_uso,bp_loteobs,bp_zepec,bp_tombant,bp_dia_mun,bp_ano_mun,bp_dia_est,bp_ano_est,bp_dia_uni,bp_ano_uni,bp_tipo,bp_tpcateg,bp_categor,bp_status,bp_distrit,bp_subpref,bp_proconp,bp_procond,bp_proipha,bp_obscomp
IGEPAC LIBERDADE / ÁREA DO GLICÉRIO / TABELA I - ITEM 4,005,046,0000,05,RES. 37/18,não consta,não consta,"R ANITA FERRAZ, 42, 44",https://www.prefeitura.sp.gov.br/cidade/upload/Re2216TombamentoZ8200vePDF_1503426673.pdf,CONJUNTO,152 A 153,ZEPEC-454,T,"22/11/2019, p. 20-21",2018,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,SÉ,SÉ,1995-0.021.764-3,não consta,não consta,
IGEPAC LIBERDADE / ÁREA DO GLICÉRIO / TABELA I - ITEM 4,005,046,0000,11,RES. 37/18,não consta,não consta,"PC DOUTOR MÁRIO MARGARIDO, 26, 28",https://www.prefeitura.sp.gov.br/cidade/upload/Re2216TombamentoZ8200vePDF_1503426673.pdf,CONJUNTO,179 A 184,ZEPEC-454,T,"22/11/2019, p. 20-21",2018,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,SÉ,SÉ,1995-0.021.764-3,não consta,não consta,
CONJUNTO DE IMÓVEIS ENQUADRADOS COMO Z8-200 - ITEM 172,005,046,0000,12,RES. 22/16,não consta,não consta,"R CONDE DE SARZEDAS, 394",https://www.prefeitura.sp.gov.br/cidade/upload/Re2216TombamentoZ8200vePDF_1503426673.pdf,IMÓVEL,0,ZEPEC-025,,"DOC de 17/08/2017, pág. 14 e 15",2017,não consta,0,não consta,0,TA,AUE,Área de Urbanização Especial,TOMBADO,SÉ,SÉ,1992-0.009.298-5; 2002-0.075.935-0; 2012-0.051.849-3; 2014-0.151.791-5; 2015-0.278.796-9,não consta,não consta,
IGEPAC LIBERDADE / ÁREA DO GLICÉRIO / TABELA I - ITEM 4,005,046,0000,12,RES. 37/18,não consta,não consta,"R CONDE DE SARZEDAS, 394",https://www.prefeitura.sp.gov.br/cidade/upload/re3718tombamentoconjuntogliceriopdf_1574454605.pdf,CONJUNTO,0180 A 0181,ZEPEC-454,T,"22/11/2019, p. 20-21",2018,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,SÉ,SÉ,1995-0.021.764-3,não consta,não consta,
IGEPAC LIBERDADE / ÁREA DO GLICÉRIO / TABELA I - ITEM 4,005,046,0000,03,RES. 37/18,não consta,não consta,"R ANITA FERRAZ 49, 51",https://www.prefeitura.sp.gov.br/cidade/upload/re3718tombamentoconjuntogliceriopdf_1574454605.pdf,CONJUNTO,0139 A 0140,ZEPEC-454,T,"22/11/2019, p. 20-21",2018,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,SÉ,SÉ,1995-0.021.764-3,não consta,não consta,
IGEPAC LIBERDADE / ÁREA DO GLICÉRIO / TABELA I - ITEM 4,005,046,0000,07,RES. 37/18,não consta,não consta,"R ANITA FERRAZ, 28, 30",https://www.prefeitura.sp.gov.br/cidade/upload/re3718tombamentoconjuntogliceriopdf_1574454605.pdf,CONJUNTO,0156 A 0157,ZEPEC-454,T,"22/11/2019, p. 20-21",2018,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,SÉ,SÉ,1995-0.021.764-3,não consta,não consta,
IGEPAC LIBERDADE / ÁREA DO GLICÉRIO / TABELA I - ITEM 4,005,046,0000,06,RES. 37/18,não consta,não consta,"R ANITA FERRAZ, 36, 38",https://www.prefeitura.sp.gov.br/cidade/upload/re3718tombamentoconjuntogliceriopdf_1574454605.pdf,CONJUNTO,0154 A 0155,ZEPEC-454,T,"22/11/2019, p. 20-21",2018,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,SÉ,SÉ,1995-0.021.764-3,não consta,não consta,
IGEPAC LIBERDADE / ÁREA DO GLICÉRIO / TABELA I - ITEM 4,005,046,0000,10,RES. 37/18,não consta,não consta,"R ANITA FERRAZ, 50, 52",https://www.prefeitura.sp.gov.br/cidade/upload/re3718tombamentoconjuntogliceriopdf_1574454605.pdf,CONJUNTO,0173 A 0174,ZEPEC-454,T,"22/11/2019, p. 20-21",2018,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,SÉ,SÉ,1995-0.021.764-3,não consta,não consta,
CONJUNTO DE IMÓVEIS ENQUADRADOS COMO Z8-200 - ITEM 89,005,046,0000,11,RES. 22/16,não consta,não consta,"PC DOUTOR MARIO MARGARIDO, 26",https://www.prefeitura.sp.gov.br/cidade/upload/Re2216TombamentoZ8200vePDF_1503426673.pdf,IMÓVEL,0,ZEPEC-025,,"DOC de 17/08/2017, pág. 14 e 15",2017,não consta,0,não consta,0,TA,AUE,Área de Urbanização Especial,TOMBADO,SÉ,SÉ,1992-0.009.298-5; 2002-0.075.935-0; 2012-0.051.849-3; 2014-0.151.791-5; 2015-0.278.796-9,não consta,não consta,
IGEPAC LIBERDADE / ÁREA DO GLICÉRIO / TABELA I - ITEM 4,005,046,0000,09,RES. 37/18,não consta,não consta,"R ANITA FERRAZ, 35, 37",https://www.prefeitura.sp.gov.br/cidade/upload/re3718tombamentoconjuntogliceriopdf_1574454605.pdf,CONJUNTO,0171 A 0172,ZEPEC-454,T,"22/11/2019, p. 20-21",2018,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,SÉ,SÉ,1995-0.021.764-3,não consta,não consta,
ARCOS DA JANDAIA / ARCOS DO BIXIGA,005,000,0000,00,RES. 22/02,não consta,não consta,R JANDAIA,https://www.prefeitura.sp.gov.br/cidade/upload/Re2202TBairroBelaVistaPDF_1405029597.pdf,MONUMENTO,,,,"DOC de 14/12/2002, pág. 10 a 14",2002,,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,REPÚBLICA,SÉ,1990-0.004.514-2,,não consta,
ESTAÇÃO LIBERDADE DO METRÔ / ACESSO À ESTAÇÃO / OBRA DE MARCELLO ACIOLLY FRAGELLI / 1968,005,082,0355,00,RES. 40/17,não consta,não consta,"PC DA LIBERDADE, 160",https://www.prefeitura.sp.gov.br/cidade/upload/re4017tombamentometroliberdadeportuguesaarmeniasantanapdf_1513959730.pdf,ESTAÇÃO,"0355, 0333 A 0334 (c), 0035(c)",ZEPEC-238,,"21/12/2017, pág. 14 e 15",2017,não consta,0,não consta,0,TA,,,TOMBADO,SÉ,SÉ,2004- 0.297.171-6 e 2017-0.029.859-0,não consta,não consta,
ESTAÇÃO LIBERDADE DO METRÔ / ACESSO À ESTAÇÃO / OBRA DE MARCELLO ACIOLLY FRAGELLI / 1968,005,082,0355,00,RES. 40/17,não consta,não consta,"PC DA LIBERDADE, 160",https://www.prefeitura.sp.gov.br/cidade/upload/re4017tombamentometroliberdadeportuguesaarmeniasantanapdf_1513959730.pdf,ESTAÇÃO,"0355, 0333 A 0334 (c), 0035(c)",ZEPEC-238,,"21/12/2017, pág. 14 e 15",2017,não consta,0,não consta,0,TA,,,TOMBADO,SÉ,SÉ,2004- 0.297.171-6 e 2017-0.029.859-0,não consta,não consta,
CAMINHO HISTÓRICO GLÓRIA-LAVAPÉS / IGEPAC LIBERDADE 2,033,039,0038,00,RES. 25/18,não consta,não consta,"R DO LAVAPES, 350",https://www.prefeitura.sp.gov.br/cidade/upload/re2518tombamentocaminhoglorialavapespdf_1563995963.pdf,CONJUNTO,,,,"23/07/2019, pág. 12 a 15",2018,não consta,0,não consta,0,TA,,,TOMBADO,LIBERDADE,SÉ,1995-0.021.764-3,não consta,não consta,
ÁREA DO GLICÉRIO / IGEPAC LIBERDADE,005,044,0000,04,RES. 37/18,não consta,não consta,"R SANTA LUZIA, 81 A 93 C/ R DOUTOR TOMAZ DE LIMA",https://www.prefeitura.sp.gov.br/cidade/upload/re3718tombamentoconjuntogliceriopdf_1574454605.pdf,IMÓVEL,0062 A 0088,ZEPEC-454,T,22/11/2019 – páginas 20 e 21,2018,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,SÉ,SÉ,,não consta,não consta,
EIXO LIBERDADE-VERGUEIRO / IGEPAC LIBERDADE,033,014,0011,00,RES. 36/18,não consta,não consta,"R CASTRO ALVES, 15, 17",https://www.prefeitura.sp.gov.br/cidade/upload/re3618tombamentoeixoliberdadevergueiropdf_1569519974.pdf,IMÓVEL,,ZEPEC-453,T,"25/09/2019, pág. 10 a 11 (resolução); 25/09/2019, pág. 10 (homologação)",2018,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,LIBERDADE,SÉ,2015-0.243.300-8,não consta,não consta,
CAMINHO HISTÓRICO GLÓRIA-LAVAPÉS,033,039,0480,00,RES. 25/18,não consta,não consta,"R DO LAVAPÉS, 344, 346, C/ R ESPÍRITA, 175",https://www.prefeitura.sp.gov.br/cidade/upload/re2518tombamentocaminhoglorialavapespdf_1563995963.pdf,CONJUNTO,,,,"23/07/2019, pág. 12 a 15",2018,,0,não consta,0,TA,,,TOMBADO,LIBERDADE,SÉ,1995-0.021.764-3,,não consta,
EEPG DOM PEDRO II / ESCOLAS PRIMEIRA REPÚBLICA,021,008,0001,00,RES. 29/14,RES. SC 60/10,não consta,"R MARTA, 33",https://www.prefeitura.sp.gov.br/cidade/upload/Re2914EscoladaPrimeiraRepublicaTExOfficiopdf_1420475255.pdf,,,,,"24/12/2014, pág. 160 a 166",2014,"11/11/2010, pág. 112 a 114",2010,não consta,0,TA,,,TOMBADO,BARRA FUNDA,LA,2014-0.151.791-5; 1992-0.009.298-5 (item 559); 2004-0.297.171-6; 2004-0.251.126-0; 2010-0.301.409-3,Proc. SC 24.929/86,não consta,
FABRICA MATARAZZO / CASA DAS CALDEIRAS,022,006,0134,00,RES. 05/91; RES. 06/02 (RETIFICAÇÃO),RES SC 14/86; RES. SC 19/1993 (alteração),não consta,"AV FRANCISCO MATARAZZO, 1096",https://www.prefeitura.sp.gov.br/cidade/upload/RE0591TombamentoExofficioTEOPDF_1417102444.pdf,,,,,"10/04/1991, pág. 11; 19/04/2002, p. 9 (Retificação)",1991,"06/06/1986, p. 22; 12/11/1993, p. 54 (alteração)",1986,,0,TA,,,TOMBADO,BARRA FUNDA,LA,1991-0.005.014-8; 1999-0.169.201-6,Proc. SC 24.263/85,não consta,
CASA DO ELETRICISTA DA FABRICA MATARAZZO,022,006,0000,08,RES. 05/91; RES. 06/02 (RETIFICAÇÃO),RES SC 14/86; RES. SC 19/1993 (alteração),não consta,"AV FRANCISCO MATARAZZO, 1500",https://www.prefeitura.sp.gov.br/cidade/upload/RE0591TombamentoExofficioTEOPDF_1417102444.pdf,,,,,"10/04/1991, pág. 11; 19/04/2002, p. 9 (Retificação)",1991,"06/06/1986, p. 22; 12/11/1993, p. 54 (alteração)",1986,,0,TA,,,TOMBADO,BARRA FUNDA,LA,1991-0.005.014-8; 1999-0.169.201-6,Proc. SC 24.263/85,não consta,
"EDIFICIOS REMANESCENTES DA ANTIGA SERRARIA AMERICANA, GALPÕES LINDEIROS E CHAMINÉ",021,004,0072,00,RES. 06/16,não consta,não consta,"R TAGIPURU, 711",https://www.prefeitura.sp.gov.br/cidade/upload/Re0616TombamentoZEPEC262004142004pdf_1503077534.pdf,,,,,"10/04/2019, pág. 9 a 10 (reti-ratificação); 18/08/2017, pág. 14 a 16",2016,não consta,0,não consta,0,TA,,,TOMBADO,BARRA FUNDA,LA,2004-0.297.171-6,não consta,não consta,
BAIRRO DE PERDIZES / EDIFICAÇÃO NA RUA TURIASSU 98,020,068,0021,00,RES. 28/2018,não consta,não consta,"R TURIASSU, 98",https://www.prefeitura.sp.gov.br/cidade/upload/Resolucao_28_CONPRESP_2018_atualizada(1).pdf,,,,T,"16/08/2023, pág. 73 a 75",2018,não consta,0,não consta,0,TA,,,TOMBADO,BARRA FUNDA,LA,,,não consta,
