sql,ano_arquivo,data,natureza,valor_transacao,valor_venal_ref
"04202901495","2006","2006-01-20","1.Compra e venda","119000.0",""
"01501404237","2006","2006-01-20","1.Compra e venda","97750.0",""
"01501403702","2006","2006-01-20","1.Compra e venda","16250.0",""
"00508203473","2006","2006-01-30","1.Compra e venda","101000.0",""
"00606415599","2006","2006-01-20","1.Compra e venda","35000.0",""
"01112301331","2006","2006-01-23","1.Compra e venda","300000.0",""
"00800202309","2006","2006-01-20","1.Compra e venda","80000.0",""
"00601204530","2006","2006-01-20","1.Compra e venda","21334.0",""
"00601204281","2006","2006-01-20","1.Compra e venda","21334.0",""
"19601807372","2006","2006-01-18","1.Compra e venda","80000.0",""
"04009100869","2006","2006-01-20","1.Compra e venda","330000.0",""
"02006203800","2006","2006-01-20","1.Compra e venda","230000.0",""
"00404301215","2006","2006-01-20","1.Compra e venda","60500.0",""
"02006406604","2006","2006-01-22","1.Compra e venda","99500.0",""
"02006407724","2006","2006-01-22","1.Compra e venda","20500.0",""
"00907004441","2006","2006-01-06","1.Compra e venda","10000.0",""
"01002604990","2006","2006-01-20","1.Compra e venda","40000.0",""
"02006205447","2006","2006-01-20","1.Compra e venda","80000.0",""
"07210802355","2006","2006-01-20","1.Compra e venda","135000.0",""
"02101400286","2006","2003-04-02","8.Cessão de direitos hereditários (ou su","42850.5",""
"01001302230","2006","2006-01-20","1.Compra e venda","70000.0",""
"02009106547","2006","2006-01-31","1.Compra e venda","70000.0",""
"02009107136","2006","2006-01-31","1.Compra e venda","30000.0",""
"17231207943","2006","2006-01-18","1.Compra e venda","35000.0",""
"01006705805","2006","2006-01-23","1.Compra e venda","128202.44",""
"00705002470","2006","2006-01-23","1.Compra e venda","38000.0",""
"02104002575","2006","2006-01-23","1.Compra e venda","140000.0",""
"00601101375","2006","2006-01-23","1.Compra e venda","45000.0",""
"00901903949","2006","2006-01-23","1.Compra e venda","62000.0",""
"00507101723","2006","2006-01-30","1.Compra e venda","30000.0",""
"00901910384","2006","2006-01-23","1.Compra e venda","18000.0",""
"03007200075","2006","2006-01-23","1.Compra e venda","35000.0",""
"00905102452","2006","2006-01-23","1.Compra e venda","75000.0",""
"01001200918","2006","2006-01-23","1.Compra e venda","60000.0",""
"00801200751","2006","2006-01-24","1.Compra e venda","77987.51",""
"00801200751","2006","2006-01-24","2.Cessão de direitos relativos a comprom","78000.0",""
"00700801154","2006","2006-01-23","1.Compra e venda","13000.0",""
"00700801278","2006","2006-01-23","1.Compra e venda","45000.0",""
"02006904019","2006","2006-01-27","1.Compra e venda","440000.0",""
"00904801608","2006","2006-01-23","1.Compra e venda","45062.0",""
"01000202909","2006","2006-01-23","1.Compra e venda","160000.0",""
"00601315626","2006","2006-01-24","1.Compra e venda","45255.98",""
"00601315618","2006","2006-01-24","1.Compra e venda","37000.0",""
"01001202074","2006","2006-01-30","1.Compra e venda","320000.0",""
"00601315634","2006","2006-01-24","1.Compra e venda","38000.0",""
"00709103026","2006","2006-01-20","1.Compra e venda","31000.0",""
"00904404226","2006","2006-01-31","1.Compra e venda","80000.0",""
"03303603189","2006","2006-01-31","1.Compra e venda","55000.0",""
"00602302242","2006","2006-01-31","1.Compra e venda","38500.0",""
"07024200928","2006","2006-01-31","1.Compra e venda","35596.5",""
"00503403229","2006","2006-01-24","1.Compra e venda","100000.0",""
"06916302852","2006","2006-01-27","1.Compra e venda","147000.0",""
"00601315642","2006","2006-01-24","1.Compra e venda","35000.0",""
"06916303476","2006","2006-01-27","1.Compra e venda","28000.0",""
